row_label_raw,row_label_full,Bên liên quan khác,Mối quan hệ,numeric__Mối quan hệ
Công ty Liên doanh TNHH Khu Công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu Công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu Công nghiệp Việt Nam – Singapore,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Setia – Becamex,Công ty Cổ phần Setia – Becamex,Công ty Cổ phần Setia – Becamex,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Nước – Môi trường Bình Dương,Công ty Cổ phần Nước – Môi trường Bình Dương,Công ty Cổ phần Nước – Môi trường Bình Dương,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex Bình Phước,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Becamex Bình Định,Công ty Cổ phần Becamex Bình Định,Công ty Cổ phần Becamex Bình Định,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Giải pháp Năng lượng Thông minh Việt Nam – Singapore,Công ty Cổ phần Giải pháp Năng lượng Thông minh Việt Nam – Singapore,Công ty Cổ phần Giải pháp Năng lượng Thông minh Việt Nam – Singapore,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Đông Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Đông Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Đông Sài Gòn,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty TNHH MTV Tư vấn Đầu tư Xây dựng Việt,Công ty TNHH MTV Tư vấn Đầu tư Xây dựng Việt,Công ty TNHH MTV Tư vấn Đầu tư Xây dựng Việt,Công ty con của Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,
Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty Cổ phần Xi măng Hà Tiên Kiên Giang – Becamex,Công ty con của Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,
Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty con của Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,
Công ty Liên doanh TNHH SinViet,Công ty Liên doanh TNHH SinViet,Công ty Liên doanh TNHH SinViet,Công ty liên kết của Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,
Công ty Cổ phần Đầu tư Xây dựng Chánh Phú Hòa,Công ty Cổ phần Đầu tư Xây dựng Chánh Phú Hòa,Công ty Cổ phần Đầu tư Xây dựng Chánh Phú Hòa,Công ty liên kết của Công ty Cổ phần Nước – Môi trường Bình Dương,
