row_label_raw,row_label_full,1.,"Tiền chi đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,V.8;V.9;V.12,(73.632.638.687),(44.122.795.077),"numeric__Tiền chi đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",numeric__21,numeric__V.8;V.9;V.12,numeric__(73.632.638.687),numeric__(44.122.795.077)
2.,2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,V.8;VI.8,123.636.364,-,,22.0,,123636364.0,
3.,3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,-,-,,23.0,,,
4.,4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,-,-,,24.0,,,
5.,5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,V.13,(40.198.714.093),-,,25.0,,-40198714093.0,
6.,6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,-,,26.0,,,
7.,7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,V.4;VI.4,5.874.447.585,11.047.920.304,,27.0,,5874447585.0,11047920304.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(107.833.268.831),(33.074.874.773),,30.0,,-107833268831.0,-33074874773.0
