row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,15.170.790.000.000,3.202.198.967.068,(1.693.270.000),-,518.641.612.156,13.397.029.077.196,110.613.825.490,32.397.580.211.910,15170790000000.0,3202198967068.0,-1693270000.0,,518641612156.0,13397029077196.0,110613825490.0,32397580211910.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,8.573.014.210.414,27.536.495.813,8.600.550.706.227,,,,,,8573014210414.0,27536495813.0,8600550706227.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,6.068.281.660.000,-,-,-,-,(6.068.281.660.000),-,-,6068281660000.0,,,,,-6068281660000.0,,
Tăng đo mua công ty con,Tăng đo mua công ty con,Tăng đo mua công ty con,-,-,-,-,-,-,120.000.000,120.000.000,,,,,,,120000000.0,120000000.0
Thu bồi cổ phiếu thưởng cho nhân viên làm cổ phiếu quỹ,Thu bồi cổ phiếu thưởng cho nhân viên làm cổ phiếu quỹ,Thu bồi cổ phiếu thưởng cho nhân viên làm cổ phiếu quỹ,-,-,(370.000.000),-,-,370.000.000,-,-,,,-370000000.0,,,370000000.0,,
Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,-,9.361.449.202,2.063.270.000,-,-,-,-,11.424.719.202,,9361449202.0,2063270000.0,,,,,11424719202.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(360.445.489.236),(1.295.800.000),(361.741.289.236),,,,,,-360445489236.0,-1295800000.0,-361741289236.0
Phân bổ vào quỹ dấu tư phát triển,Phân bổ vào quỹ dấu tư phát triển,Phân bổ vào quỹ dấu tư phát triển,-,-,-,-,400.000.000.000,(400.000.000.000),-,-,,,,,400000000000.0,-400000000000.0,,
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(10.013.052.081),(10.013.052.081),,,,,,,-10013052081.0,-10013052081.0
Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,Ảnh hưởng của việc chuyển đổi đồng tiền báo cáo,-,-,-,276.819.257,-,-,-,276.819.257,,,,276819257.0,,,,276819257.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(15.248.274.469),-,(15.248.274.469),,,,,,-15248274469.0,,-15248274469.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,21.239.071.660.000,3.211.560.416.270,-,276.819.257,918.641.612.156,15.126.437.863.905,126.961.469.222,40.622.949.840.810,21239071660000.0,3211560416270.0,,276819257.0,918641612156.0,15126437863905.0,126961469222.0,40622949840810.0
