row_label_raw,row_label_full,col_0,31/12/2019,31/12/2019_1,1/1/2019,1/1/2019_1,numeric__31/12/2019,numeric__31/12/2019_1,numeric__1/1/2019,numeric__1/1/2019_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,2.871.139.551.905,-,1.623.197.709.854,-,2871139551905.0,,1623197709854.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,7.381.248.359.674,(3.877.969.713),4.961.008.117.990,(20.733.723.761),7381248359674.0,-3877969713.0,4961008117990.0,-20733723761.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,2.101.425.673.044,(5.840.805.888),1.332.123.835.404,(5.238.692.265),2101425673044.0,-5840805888.0,1332123835404.0,-5238692265.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.573.282.308.451,(28.311.250.423),2.141.040.914.296,(11.097.564.473),1573282308451.0,-28311250423.0,2141040914296.0,-11097564473.0
Thành phẩm,Thành phẩm,Thành phẩm,4.489.362.757.309,(13.381.769.149),3.580.989.993.951,(24.439.053.883),4489362757309.0,-13381769149.0,3580989993951.0,-24439053883.0
Hàng hóa,Hàng hóa,Hàng hóa,741.358.297.568,(17.331.986.992),543.305.582.635,(11.688.086.444),741358297568.0,-17331986992.0,543305582635.0,-11688086444.0
Hàng gửi gia công,Hàng gửi gia công,Hàng gửi gia công,1.777.303.715,-,-,-,1777303715.0,,,
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,321.072.278.594,-,6.670.015.604,-,321072278594.0,,6670015604.0,
,,,19.480.666.530.260,(68.743.782.165),14.188.336.169.734,(73.197.120.826),19480666530260.0,-68743782165.0,14188336169734.0,-73197120826.0
