row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bất động sản VND,Nông nghiệp VND,Đầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bất động sản VND,numeric__Nông nghiệp VND,numeric__Đầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,,,,,,,
Tài sản của bộ phận,Tại ngày 31 tháng 12 năm 2018 > Tài sản của bộ phận,Tài sản của bộ phận,70.112.614.533.225,2.352.850.909.969,3.103.472.590.479,4.736.137.299.885,1.283.829.879.943,(3.365.897.542.576),78.223.007.670.925,70112614533225.0,2352850909969.0,3103472590479.0,4736137299885.0,1283829879943.0,-3365897542576.0,78223007670925.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2018 > Tổng tài sản,Tổng tài sản,70.112.614.533.225,2.352.850.909.969,3.103.472.590.479,4.736.137.299.885,1.283.829.879.943,(3.365.897.542.576),78.223.007.670.925,70112614533225.0,2352850909969.0,3103472590479.0,4736137299885.0,1283829879943.0,-3365897542576.0,78223007670925.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2018 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,34.668.413.777.196,1.156.149.078.573,1.295.312.499.076,1.587.916.921.745,1.632.900.490.338,(2.740.634.936.813),37.600.057.830.115,34668413777196.0,1156149078573.0,1295312499076.0,1587916921745.0,1632900490338.0,-2740634936813.0,37600057830115.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2018 > Tổng nợ phải trả,Tổng nợ phải trả,34.668.413.777.196,1.156.149.078.573,1.295.312.499.076,1.587.916.921.745,1.632.900.490.338,(2.740.634.936.813),37.600.057.830.115,34668413777196.0,1156149078573.0,1295312499076.0,1587916921745.0,1632900490338.0,-2740634936813.0,37600057830115.0
Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,,,,,,,
Chỉ tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chỉ tiêu vốn,Chỉ tiêu vốn,26.738.252.580.611,272.317.873.374,87.759.535.150,531.980.846.312,119.758.395.348,(156.713.428.631),27.593.355.802.164,26738252580611.0,272317873374.0,87759535150.0,531980846312.0,119758395348.0,-156713428631.0,27593355802164.0
Khẩu huo tài sản cố định hữu hình và bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khẩu huo tài sản cố định hữu hình và bất động sản đầu tư,Khẩu huo tài sản cố định hữu hình và bất động sản đầu tư,1.777.947.106.997,151.603.926.387,39.907.758.171,255.399.752.105,25.698.547.463,(11.414.656.220),2.239.142.434.903,1777947106997.0,151603926387.0,39907758171.0,255399752105.0,25698547463.0,-11414656220.0,2239142434903.0
Khẩu huo tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khẩu huo tài sản cố định vô hình,Khẩu huo tài sản cố định vô hình,4.034.426.400,2.702.816.090,343.278.188,944.383.552,3.201.650.812,(12.212.230),11.214.342.812,4034426400.0,2702816090.0,343278188.0,944383552.0,3201650812.0,-12212230.0,11214342812.0
Phân bổ chi phí đất trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Phân bổ chi phí đất trả trước dài hạn,Phân bổ chi phí đất trả trước dài hạn,222.372.671.125,12.761.252.832,4.133.271.398,38.883.623.930,8.669.289.252,(1.411.580.970),285.408.527.567,222372671125.0,12761252832.0,4133271398.0,38883623930.0,8669289252.0,-1411580970.0,285408527567.0
