row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 2,Hoạt động chính,31/12/2019,1/1/2019,31/12/2019,1/1/2019,,,,,,
,,,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,Công ty con của Công ty CP Đầu tư Khoáng sản An Thông,,,,,,
1,STT > 1,1,Công ty TNHH MTV Bình Vàng,"Khai thác quãng sắt, khai thác kim loại khác không chứa sắt, sản xuất kim loại màu và kim loại quý, khai thác quãng kim loại quý hiểm.",100%,100%,"99,96%","99,96%",,,1.0,1.0,0.9995999999999999,0.9995999999999999
2,STT > 2,2,Công ty CP Khoáng sản Hòa Phát Mitraco,"Khai thác và sản xuất quãng sắt, bổ xít và các kim loại quý hiểm; bán buôn kim loại và quãng kim loại.","98,42%","98,42%","98,38%","98,38%",,,0.9842,0.9842,0.9838,0.9838
,,,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,Công ty con của Công ty CP Thép Hòa Phát Hải Dương,,,,,,
3,STT > 3,3,Công ty CP Năng lượng Hòa Phát,"Sản xuất và bán buôn than cốc, khai thác và thu gom than cứng; sản xuất sản phẩm dầu mỏ tinh chế; bán buôn kim loại và quãng kim loại; và buôn bán than luyện cốc và than các loại.","99,89%","99,89%","99,888%","99,888%",,,0.9989,0.9989,0.9988800000000001,0.9988800000000001
4,STT > 4,4,Công ty Cổ phần Vận tải biển Hòa Phát (i),"Vận tải hàng hóa ven biển, đường thủy nội địa và viễn dương.",68%,-,"67,998%",-,,,0.68,,0.67998,
,,,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,Công ty con của Công ty CP Thép Hòa Phát Dung Quất,,,,,,
5,STT > 5,5,Công ty CP Hợp kim sắt Hòa Phát Dung Quất,"Sản xuất sắt, thép, gang.","89,99%","89,99%","99,99%","99,99%",,,0.8998999999999999,0.8998999999999999,0.9998999999999999,0.9998999999999999
6,STT > 6,6,Công ty CP Ông thép Hòa Phát Dung Quất,"Sản xuất sắt, thép, gang.","89,99%","89,99%","99,987%","99,987%",,,0.8998999999999999,0.8998999999999999,0.9998699999999999,0.9998699999999999
7,STT > 7,7,Công ty CP Tôn Hòa Phát Dung Quất,"Sản xuất sắt, thép, gang.","89,99%","89,99%","99,99%","99,99%",,,0.8998999999999999,0.8998999999999999,0.9998999999999999,0.9998999999999999
8,STT > 8,8,Hoa Phat Trading International Pte Ltd.,"Kinh doanh thương mại sắt, thép, gang.",100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
9,STT > 9,9,Công ty CP Căng Tổng hợp Hòa Phát,Dịch vụ hỗ trợ trực tiếp cho vận tải đường thủy.,98%,98%,"99,999%","99,999%",,,0.98,0.98,0.9999899999999999,0.9999899999999999
10,STT > 10,10,Công ty TNHH Harmonia (i),Dịch vụ khách sạn.,100%,-,"99,999%",-,,,1.0,,0.9999899999999999,
