row_label_raw,row_label_full,31/12/2019,31/12/2019_1,31/12/2019_2,31/12/2019_3,31/12/2019_4,31/12/2019_5,numeric__31/12/2019_1,numeric__31/12/2019_2,numeric__31/12/2019_3,numeric__31/12/2019_4,numeric__31/12/2019_5
,,,USD,EUR,JPY,AUD,CNY,,,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,19.286.141,1.922,3.465.300,417.914,-,19286141.0,1922.0,3465300.0,417914.0,
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,13.335.794,-,-,5.868,-,13335794.0,,,5868.0,
Phải trả người bán,Phải trả người bán,Phải trả người bán,(253.611.805),(38.585.799),-,-,(411.442),-253611805.0,-38585799.0,,,-411442.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(72.892.904),-,-,-,-,-72892904.0,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,(200.000.000),-,-,-,-,-200000000.0,,,,
,,,(493.882.774),(38.583.877),3.465.300,423.782,(411.442),-493882774.0,-38583877.0,3465300.0,423782.0,-411442.0
1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,,,,,
,,,USD,EUR,,,,,,,,
Tiền và các khoản tương đương tiền,1/1/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,22.027.561,1.802,,,,22027561.0,1802.0,,,
Phải thu ngắn hạn của khách hàng,1/1/2019 > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,16.964.223,-,,,,16964223.0,,,,
Phải trả người bán,1/1/2019 > Phải trả người bán,Phải trả người bán,(213.358.450),(15.950.676),,,,-213358450.0,-15950676.0,,,
Vay ngắn hạn,1/1/2019 > Vay ngắn hạn,Vay ngắn hạn,(69.568.540),-,,,,-69568540.0,,,,
Vay dài hạn,1/1/2019 > Vay dài hạn,Vay dài hạn,(30.000.000),-,,,,-30000000.0,,,,
,,,(273.935.206),(15.948.874),,,,-273935206.0,-15948874.0,,,
