row_label_raw,row_label_full,col_0,Sản xuất vàkinh doanh thépVND,Sản xuấtcông nghiệp khácVND,Bất động sảnVND,Nông nghiệpVND,Dầu tư tài chính(Công ty mẹ)VND,Loại trừVND,Hợp nhấtVND,numeric__Sản xuất vàkinh doanh thépVND,numeric__Sản xuấtcông nghiệp khácVND,numeric__Bất động sảnVND,numeric__Nông nghiệpVND,numeric__Dầu tư tài chính(Công ty mẹ)VND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,,,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,46.424.438.557.484,3.143.642.159.185,1.672.193.024.470,4.596.184.638.620,,,55.836.458.379.759,46424438557484.0,3143642159185.0,1672193024470.0,4596184638620.0,,,55836458379759.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,24.846.558.699.153,1.512.209.181.834,69.825.151.585,20.993.986.355,144.749.999.691,(26.594.337.018.618),,24846558699153.0,1512209181834.0,69825151585.0,20993986355.0,144749999691.0,-26594337018618.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,71.270.997.256.637,4.655.851.341.019,1.742.018.176.055,4.617.178.624.975,144.749.999.691,(26.594.337.018.618),55.836.458.379.759,71270997256637.0,4655851341019.0,1742018176055.0,4617178624975.0,144749999691.0,-26594337018618.0,55836458379759.0
Lợi nhuận thuần từ hoạt độngkinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Lợi nhuận thuần từ hoạt độngkinh doanh của bộ phận,Lợi nhuận thuần từ hoạt độngkinh doanh của bộ phận,9.074.781.411.234,400.450.243.651,608.767.909.016,167.737.638.337,7.294.706.264.480,(7.474.354.333.886),10.072.089.132.832,9074781411234.0,400450243651.0,608767909016.0,167737638337.0,7294706264480.0,-7474354333886.0,10072089132832.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Thu nhập khác,Thu nhập khác,481.555.388.120,6.427.041.940,2.361.816.807,4.648.172.875,5.878.321.906,(12.014.153.612),488.856.588.036,481555388120.0,6427041940.0,2361816807.0,4648172875.0,5878321906.0,-12014153612.0,488856588036.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi phí khác,Chi phí khác,(473.877.140.311),(505.693.124),(10.517.197.278),(4.911.728.653),(3.448.677.322),3.387.588.122,(489.872.848.566),-473877140311.0,-505693124.0,-10517197278.0,-4911728653.0,-3448677322.0,3387588122.0,-489872848566.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(1.282.407.631.700),(77.598.081.433),(126.462.893.836),(15.845.962.217),(4.005.518.365),,(1.506.320.087.551),-1282407631700.0,-77598081433.0,-126462893836.0,-15845962217.0,-4005518365.0,,-1506320087551.0
(Chi phí)/lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > (Chi phí)/lợi ích thuế thu nhập hoãn lại,(Chi phí)/lợi ích thuế thu nhập hoãn lại,(15.011.401.092),4.353.955.612,9.288.714.217,(366.828),,37.167.019.567,35.797.921.476,-15011401092.0,4353955612.0,9288714217.0,-366828.0,,37167019567.0,35797921476.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,7.785.040.626.251,333.127.466.646,483.438.348.926,151.627.753.514,7.293.130.390.699,(7.445.813.879.809),8.600.550.706.227,7785040626251.0,333127466646.0,483438348926.0,151627753514.0,7293130390699.0,-7445813879809.0,8600550706227.0
