row_label_raw,row_label_full,col_0,Loại tiền,Năm đáo hạn,31/12/2019 VND,1/1/2019 VND,numeric__Loại tiền,numeric__Năm đáo hạn,numeric__31/12/2019 VND,numeric__1/1/2019 VND
Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,,,,
Việt Nam – Chi nhánh Hà Nội (*),Ngân hàng TMCP Công thương > Việt Nam – Chi nhánh Hà Nội (*),Việt Nam – Chi nhánh Hà Nội (*),VND,2025,8.732.692.162.550,7.245.457.423.257,,2025.0,8732692162550.0,7245457423257.0
Ngân hàng TMCP Ngoại thương,Ngân hàng TMCP Ngoại thương,Ngân hàng TMCP Ngoại thương,Ngân hàng TMCP Ngoại thương,Ngân hàng TMCP Ngoại thương,Ngân hàng TMCP Ngoại thương,Ngân hàng TMCP Ngoại thương,,,,
Việt Nam – Chi nhánh Thành Công (*),Ngân hàng TMCP Ngoại thương > Việt Nam – Chi nhánh Thành Công (*),Việt Nam – Chi nhánh Thành Công (*),VND,2025,7.806.883.295.815,3.400.291.289.471,,2025.0,7806883295815.0,3400291289471.0
Ngân hàng BNP Parisbas (***),Ngân hàng TMCP Ngoại thương > Ngân hàng BNP Parisbas (***),Ngân hàng BNP Parisbas (***),USD,2023,4.640.000.000.000,699.000.000.000,,2023.0,4640000000000.0,699000000000.0
Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,,,,
Việt Nam (**),Ngân hàng TNHH MTV HSBC > Việt Nam (**),Việt Nam (**),VND,2022,736.327.292.253,898.829.176.016,,2022.0,736327292253.0,898829176016.0
Ngân hàng TNHH MTV ANZ,Ngân hàng TNHH MTV ANZ,Ngân hàng TNHH MTV ANZ,Ngân hàng TNHH MTV ANZ,Ngân hàng TNHH MTV ANZ,Ngân hàng TNHH MTV ANZ,Ngân hàng TNHH MTV ANZ,,,,
Việt Nam (*),Ngân hàng TNHH MTV ANZ > Việt Nam (*),Việt Nam (*),VND,2020,169.970.721.924,339.941.443.852,,2020.0,169970721924.0,339941443852.0
Ngân hàng TMCP Công Thương,Ngân hàng TMCP Công Thương,Ngân hàng TMCP Công Thương,Ngân hàng TMCP Công Thương,Ngân hàng TMCP Công Thương,Ngân hàng TMCP Công Thương,Ngân hàng TMCP Công Thương,,,,
Việt Nam – Chi nhánh Đống Đa (*),Ngân hàng TMCP Công Thương > Việt Nam – Chi nhánh Đống Đa (*),Việt Nam – Chi nhánh Đống Đa (*),VND,2020,2.162.000.000,163.948.792.415,,2020.0,2162000000.0,163948792415.0
Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,Ngân hàng TMCP Công thương,,,,
Việt Nam – Chi nhánh Hoàng Mai (*),Ngân hàng TMCP Công thương > Việt Nam – Chi nhánh Hoàng Mai (*),Việt Nam – Chi nhánh Hoàng Mai (*),VND,2021,22.412.209.541,48.512.209.541,,2021.0,22412209541.0,48512209541.0
Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,,,,
Việt Nam (*),Ngân hàng TNHH MTV HSBC > Việt Nam (*),Việt Nam (*),VND,2024,137.731.806.000,-,,2024.0,137731806000.0,
Quỹ bảo vệ môi trường,Ngân hàng TNHH MTV HSBC > Quỹ bảo vệ môi trường,Quỹ bảo vệ môi trường,VND,2025,23.154.000.000,23.340.000.000,,2025.0,23154000000.0,23340000000.0
Vay từ cá nhân,Ngân hàng TNHH MTV HSBC > Vay từ cá nhân,Vay từ cá nhân,VND,2020,257.100.000.000,300.000.000.000,,2020.0,257100000000.0,300000000000.0
,,,,,22.528.433.488.083,13.119.320.334.552,,,22528433488083.0,13119320334552.0
