row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.443.056.494.039,16.249.878.974.087,936.724.916.922,73.040.957.140,284.786.687.591,5.175.917.066,22.992.663.946.845,5443056494039.0,16249878974087.0,936724916922.0,73040957140.0,284786687591.0,5175917066.0,22992663946845.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,16.305.364.784,162.979.333.853,77.409.391.599,18.835.481.805,-,913.232.811,276.442.804.852,16305364784.0,162979333853.0,77409391599.0,18835481805.0,,913232811.0,276442804852.0
Chuyên tử xây dựng cơ bản dở dang,Nguyên giá > Chuyên tử xây dựng cơ bản dở dang,Chuyên tử xây dựng cơ bản dở dang,7.668.104.263.995,12.916.395.073.590,36.956.422.482,7.116.050.816,68.279.572.007,53.202.050,20.696.904.584.940,7668104263995.0,12916395073590.0,36956422482.0,7116050816.0,68279572007.0,53202050.0,20696904584940.0
Chuyên sang chi phí trả trước đãi hạn,Nguyên giá > Chuyên sang chi phí trả trước đãi hạn,Chuyên sang chi phí trả trước đãi hạn,(1.542.271.353),-,-,-,-,-,(1.542.271.353),-1542271353.0,,,,,,-1542271353.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(12.384.014.117),(114.967.366.412),(31.832.793.032),(554.955.593),-,-,(159.739.129.154),-12384014117.0,-114967366412.0,-31832793032.0,-554955593.0,,,-159739129154.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(1.995.000.000),1.995.000.000,-,-,-,-,,-1995000000.0,1995000000.0,,,,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(72.383.422),(251.067.177),533.636.364,-,-,-,210.185.765,-72383422.0,-251067177.0,533636364.0,,,,210185765.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.113.467.453.926,29.212.039.947.941,1.021.786.574.335,98.437.534.168,353.066.259.598,6.142.351.927,43.804.940.121.895,13113467453926.0,29212039947941.0,1021786574335.0,98437534168.0,353066259598.0,6142351927.0,43804940121895.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.727.328.640.341,8.121.862.125.586,435.126.501.546,39.583.083.271,101.915.939.624,1.484.126.598,10.427.300.416.966,1727328640341.0,8121862125586.0,435126501546.0,39583083271.0,101915939624.0,1484126598.0,10427300416966.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,484.277.108.835,1.824.768.435.087,126.425.813.571,17.323.533.702,88.331.547.350,688.310.447,2.541.814.748.992,484277108835.0,1824768435087.0,126425813571.0,17323533702.0,88331547350.0,688310447.0,2541814748992.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(5.135.951.606),(109.382.450.179),(29.226.124.822),(552.952.160),-,-,(144.297.478.767),-5135951606.0,-109382450179.0,-29226124822.0,-552952160.0,,,-144297478767.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(546.250.000),546.250.000,-,-,-,-,,-546250000.0,546250000.0,,,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.206.469.797.570,9.836.701.860.494,532.872.440.295,56.353.664.813,190.247.486.974,2.172.437.045,12.824.817.687.191,2206469797570.0,9836701860494.0,532872440295.0,56353664813.0,190247486974.0,2172437045.0,12824817687191.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.715.727.853.698,8.128.016.848.501,501.598.415.376,33.457.873.869,182.870.747.967,3.691.790.468,12.565.363.529.879,3715727853698.0,8128016848501.0,501598415376.0,33457873869.0,182870747967.0,3691790468.0,12565363529879.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,10.906.997.656.356,19.375.338.087.447,488.914.134.040,42.083.869.355,162.818.772.624,3.969.914.882,30.980.122.434.704,10906997656356.0,19375338087447.0,488914134040.0,42083869355.0,162818772624.0,3969914882.0,30980122434704.0
