row_label_raw,row_label_full,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp từ cổ đông không kiểm soát",31,85.000.000,11.424.719.202,numeric__31,numeric__85.000.000,numeric__11.424.719.202
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,67.944.184.644.118,53.472.014.216.173,33.0,67944184644118.0,53472014216173.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(55.553.681.828.677),(42.335.009.094.686),34.0,-55553681828677.0,-42335009094686.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,(12.646.859.136),(5.918.198.429),36.0,-12646859136.0,-5918198429.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,12.377.940.956.305,11.142.511.642.260,40.0,12377940956305.0,11142511642260.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,2.028.893.607.164,(1.748.278.177.953),50.0,2028893607164.0,-1748278177953.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,2.515.617.135.457,4.264.641.954.689,60.0,2515617135457.0,4264641954689.0
Ảnh hưởng của thay đổi tỷ giá quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá quy đổi ngoại tệ,61,389.509.583,(746.641.279),61.0,389509583.0,-746641279.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),70,5,4.544.900.252.204,70.0,5.0,4544900252204.0
