row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn - ngắn hạn▪ Tiền gửi có kỳ hạn (i) > Đầu tư nằm giữ đến ngày đáo hạn - dài hạn▪ Tiền gửi có kỳ hạn (ii),Số lượng,31/12/2019 > Giá gốc VND > 1.374.340.352.910 > 26.525.530.257,31/12/2019 > Giá trị hợp lý VND > 1.374.340.352.910 > (*),Số lượng_1,1/1/2019 > Giá gốc VND > 3.724.562.710.535 > 65.884.926.457,1/1/2019 > Giá trị hợp lý VND > 3.724.562.710.535 > (*),numeric__Số lượng,numeric__31/12/2019 > Giá gốc VND > 1.374.340.352.910 > 26.525.530.257,numeric__31/12/2019 > Giá trị hợp lý VND > 1.374.340.352.910 > (*),numeric__Số lượng_1,numeric__1/1/2019 > Giá gốc VND > 3.724.562.710.535 > 65.884.926.457,numeric__1/1/2019 > Giá trị hợp lý VND > 3.724.562.710.535 > (*)
▪ Trái phiếu (iii),▪ Trái phiếu (iii),▪ Trái phiếu (iii),2.000,20.000.000.000,(*),-,-,-,2000.0,20000000000.0,,,,
,,,,46.525.530.257,(*),,65.884.926.457,(*),,46525530257.0,,,65884926457.0,
