row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích trực tiếp của công ty con cấp 131/12/2019,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 1/1/2019,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích của Tập đoàn31/12/2019,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 1/1/2019_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích trực tiếp của công ty con cấp 131/12/2019,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 1/1/2019,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích của Tập đoàn31/12/2019,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > 1/1/2019_1
,,,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,,,,,,
11,11,11,Công ty TNHH MTV Hòa Phát Bình Định,"Sản xuất sắt, thép, gang; bán buôn kim loại và quãng kim loại.",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
12,12,12,Công ty TNHH Thương mại Dịch vụ Nhơn Trạch,Kho bãi và lưu giữ hàng hóa; bốc xếp hàng hóa.,"99,97%","99,97%","99,97%","99,97%",,,0.9997,0.9997,0.9997,0.9997
,,,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,,,,,,
13,13,13,Công ty TNHH Thép Cán người Hòa Phát,Sản xuất sản phẩm thép cán người.,100%,100%,"99,967%","99,967%",,,1.0,1.0,0.99967,0.99967
14,14,14,Công ty TNHH MTV Ông thép Hòa Phát Bình Dương,Sản xuất và kinh doanh thương mại ống thép.,100%,100%,"99,967%","99,967%",,,1.0,1.0,0.99967,0.99967
15,15,15,Công ty TNHH Ông thép Hòa Phát Đà Nẵng,Sản xuất và kinh doanh thương mại ống thép.,"99,98%","99,98%","99,944%","99,944%",,,0.9998,0.9998,0.99944,0.99944
16,16,16,Công ty TNHH MTV Ông thép Hòa Phát Long An,Sản xuất và kinh doanh thương mại ống thép.,100%,100%,"99,967%","99,967%",,,1.0,1.0,0.99967,0.99967
,,,Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát (trước đây là Công ty TNHH Thiết bị Phụ tùng Hòa Phát),Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát (trước đây là Công ty TNHH Thiết bị Phụ tùng Hòa Phát),Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát (trước đây là Công ty TNHH Thiết bị Phụ tùng Hòa Phát),Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát (trước đây là Công ty TNHH Thiết bị Phụ tùng Hòa Phát),Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát (trước đây là Công ty TNHH Thiết bị Phụ tùng Hòa Phát),Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát (trước đây là Công ty TNHH Thiết bị Phụ tùng Hòa Phát),,,,,,
17,17,17,"Công ty TNHH Thép đây Hòa Phát (trước đây là Công ty TNHH Chế tạo Máy xây dựng và Khai thác mô; sản xuất động cơ, tua bin.","Sản xuất, kinh doanh các loại máy xây dựng và khai thác mô; sản xuất động cơ, tua bin.",100%,100%,"99,875%","99,875%",,,1.0,1.0,0.99875,0.99875
18,18,18,Công ty TNHH Chế tạo Cơ khí Hòa Phát,"Sửa chữa và sản xuất các sản phẩm cơ khí; dịch vụ cho thuê máy móc, thiết bị, phương tiện.","99,95%","99,95%","99,83%","99,83%",,,0.9995,0.9995,0.9983,0.9983
19,19,19,Công ty TNHH MTV Thép dự ứng lực Hòa Phát,"Sản xuất sắt, thép, gang.",100%,100%,"99,875%","99,875%",,,1.0,1.0,0.99875,0.99875
