row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,230.430.259.099,36.460.644.107,1.500.909.664,268.391.812.870,230430259099.0,36460644107.0,1500909664.0,268391812870.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,36.977.769.000,4.850.014.441,-,41.827.783.441,36977769000.0,4850014441.0,,41827783441.0
Chuyển từ xây dựng cơbản đó dang,Nguyên giá > Chuyển từ xây dựng cơbản đó dang,Chuyển từ xây dựng cơbản đó dang,-,29.351.367.152,-,29.351.367.152,,29351367152.0,,29351367152.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,267.408.028.099,70.662.025.700,1.500.909.664,339.570.963.463,267408028099.0,70662025700.0,1500909664.0,339570963463.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,35.303.798.938,14.390.009.146,1.500.909.664,51.194.717.748,35303798938.0,14390009146.0,1500909664.0,51194717748.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,6.379.358.609,12.625.403.850,-,19.004.762.459,6379358609.0,12625403850.0,,19004762459.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,41.683.157.547,27.015.412.996,1.500.909.664,70.199.480.207,41683157547.0,27015412996.0,1500909664.0,70199480207.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,195.126.460.161,22.070.634.961,-,217.197.095.122,195126460161.0,22070634961.0,,217197095122.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,225.724.870.552,43.646.612.704,-,269.371.483.256,225724870552.0,43646612704.0,,269371483256.0
