row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2018VND > 147.091.331.858,Năm 2017VND > 109.294.553.354,numeric__Năm 2018VND > 147.091.331.858,numeric__Năm 2017VND > 109.294.553.354
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,46.898.890.813,44.797.172.973,46898890813.0,44797172973.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,758.954.047,984.552.620,758954047.0,984552620.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,2.006.711.574,3.965.613.124,2006711574.0,3965613124.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,8.809.149.914,4.917.761.068,8809149914.0,4917761068.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",561.495.831,375.637.872,561495831.0,375637872.0
Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,21.625.799.657,235.250.000,21625799657.0,235250000.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,35.575.412.589,19.681.920.327,35575412589.0,19681920327.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,30.854.917.433,34.336.645.370,30854917433.0,34336645370.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,33.609.432.018,31.427.906.265,33609432018.0,31427906265.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,4.073.975.500,5.073.363.004,4073975500.0,5073363004.0
"Chi phí nguyên vật liệu, bao bì","Chi phí nguyên vật liệu, bao bì","Chi phí nguyên vật liệu, bao bì",3.525.000,4.753.786,3525000.0,4753786.0
"Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng",2.158.430.934,997.120.944,2158430934.0,997120944.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,82.020.176,53.943.417,82020176.0,53943417.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,7.688.813.956,3.849.607.876,7688813956.0,3849607876.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,19.602.666.452,21.449.117.238,19602666452.0,21449117238.0
Tổng,Tổng,Tổng,180.700.763.876,140.722.459.619,180700763876.0,140722459619.0
