row_label_raw,row_label_full,col_0,31/12/2018,31/12/2018_1,Trong năm,Trong năm_1,01/01/2018,01/01/2018_1,numeric__31/12/2018,numeric__31/12/2018_1,numeric__Trong năm,numeric__Trong năm_1,numeric__01/01/2018,numeric__01/01/2018_1
,,,Giá gốc,Số có khả năng trả nợ,Tăng,Giảm,Giá gốc,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,61.813.822.507,61.813.822.507,205.317.119.088,162.802.555.140,19.299.258.559,19.299.258.559,61813822507.0,61813822507.0,205317119088.0,162802555140.0,19299258559.0,19299258559.0
Ngân hàng SHB - CN Thăng Long,Ngân hàng SHB - CN Thăng Long,Ngân hàng SHB - CN Thăng Long,-,-,13.600.117.590,19.944.076.193,6.343.958.603,6.343.958.603,,,13600117590.0,19944076193.0,6343958603.0,6343958603.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hà Nội,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hà Nội,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hà Nội,5.550.787.736,5.550.787.736,20.449.063.227,17.298.775.491,2.400.500.000,2.400.500.000,5550787736.0,5550787736.0,20449063227.0,17298775491.0,2400500000.0,2400500000.0
Ngân hàng ĐT và PT VN - CN Thăng Long,Ngân hàng ĐT và PT VN - CN Thăng Long,Ngân hàng ĐT và PT VN - CN Thăng Long,-,-,100.000.000.000,100.000.000.000,-,-,,,100000000000.0,100000000000.0,,
Ngân hàng ĐT và PT VN - CN Nam Hà Nội,Ngân hàng ĐT và PT VN - CN Nam Hà Nội,Ngân hàng ĐT và PT VN - CN Nam Hà Nội,6.840.059.000,6.840.059.000,6.840.059.000,-,-,-,6840059000.0,6840059000.0,6840059000.0,,,
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,49.422.975.771,49.422.975.771,64.427.879.271,25.559.703.456,10.554.799.956,10.554.799.956,49422975771.0,49422975771.0,64427879271.0,25559703456.0,10554799956.0,10554799956.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,5.430.733.177.906,5.430.733.177.906,563.139.232.931,269.381.725.004,5.136.975.669.979,5.136.975.669.979,5430733177906.0,5430733177906.0,563139232931.0,269381725004.0,5136975669979.0,5136975669979.0
Ngân hàng ĐT và PT VN - CN Nam Định,Ngân hàng ĐT và PT VN - CN Nam Định,Ngân hàng ĐT và PT VN - CN Nam Định,1.945.842.451.945,1.945.842.451.945,-,34.521.000.000,1.980.363.451.945,1.980.363.451.945,1945842451945.0,1945842451945.0,,34521000000.0,1980363451945.0,1980363451945.0
Ngân hàng Phát triển VN - CN Nam Định,Ngân hàng Phát triển VN - CN Nam Định,Ngân hàng Phát triển VN - CN Nam Định,360.699.272.422,360.699.272.422,22.000.000.000,228.644.320.000,567.343.592.422,567.343.592.422,360699272422.0,360699272422.0,22000000000.0,228644320000.0,567343592422.0,567343592422.0
Ngân hàng TMCP Ngoại thương VN - CN Hà Nội,Ngân hàng TMCP Ngoại thương VN - CN Hà Nội,Ngân hàng TMCP Ngoại thương VN - CN Hà Nội,2.196.470.458.995,2.196.470.458.995,305.553.398.483,850.000.000,1.891.767.060.512,1.891.767.060.512,2196470458995.0,2196470458995.0,305553398483.0,850000000.0,1891767060512.0,1891767060512.0
Ngân hàng ĐT và PT VN - CN SGD3,Ngân hàng ĐT và PT VN - CN SGD3,Ngân hàng ĐT và PT VN - CN SGD3,795.696.303.259,795.696.303.259,228.563.776.336,-,567.132.526.923,567.132.526.923,795696303259.0,795696303259.0,228563776336.0,,567132526923.0,567132526923.0
Ngân hàng TMCP Công thương VN - CN Hà Nội,Ngân hàng TMCP Công thương VN - CN Hà Nội,Ngân hàng TMCP Công thương VN - CN Hà Nội,129.372.191.292,129.372.191.292,5.015.956.520,1.500.000.000,125.856.234.772,125.856.234.772,129372191292.0,129372191292.0,5015956520.0,1500000000.0,125856234772.0,125856234772.0
Ngân hàng TMCP Tiên Phong - CN Tây Hà Nội,Ngân hàng TMCP Tiên Phong - CN Tây Hà Nội,Ngân hàng TMCP Tiên Phong - CN Tây Hà Nội,652.499.993,652.499.993,6.101.592,290.000.004,936.398.405,936.398.405,652499993.0,652499993.0,6101592.0,290000004.0,936398405.0,936398405.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,2.000.000.000,2.000.000.000,2.000.000.000,3.576.405.000,3.576.405.000,3.576.405.000,2000000000.0,2000000000.0,2000000000.0,3576405000.0,3576405000.0,3576405000.0
