row_label_raw,row_label_full,Khoản mục > Số dư tại ngày 01/01/2017 > Tăng trong năm trước > Tăng vốn trong năm trước > Lãi trong năm trước,Vốn góp của chủ sở hữu > 1.763.294.160.000 > 747.294.970.000 > -,Thặng dư vốn cổ phần > 69.840.926.959 > 25.000.000.000 > -,Quỹ đầu tư phát triển > 80.771.817.761 > 20.059.017.568 > -,Lợi nhuận sau thuế chưa phân phối > 502.306.388.914 > 305.098.140.436 > - > 304.831.251.544,Tổng > 2.416.213.293.634 > 1.097.452.128.004 > 772.294.970.000 > 304.831.251.544,numeric__Vốn góp của chủ sở hữu > 1.763.294.160.000 > 747.294.970.000 > -,numeric__Thặng dư vốn cổ phần > 69.840.926.959 > 25.000.000.000 > -,numeric__Quỹ đầu tư phát triển > 80.771.817.761 > 20.059.017.568 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 502.306.388.914 > 305.098.140.436 > - > 304.831.251.544,numeric__Tổng > 2.416.213.293.634 > 1.097.452.128.004 > 772.294.970.000 > 304.831.251.544
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,20.059.017.568,-,20.059.017.568,,,20059017568.0,,20059017568.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,266.888.892,266.888.892,,,,266888892.0,266888892.0
Giảm trong năm trước,Giảm trong năm trước,Giảm trong năm trước,-,9.666.453.284,-,292.544.561.200,302.211.014.484,,9666453284.0,,292544561200.0,302211014484.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,28.059.000.000,28.059.000.000,,,,28059000000.0,28059000000.0
Chi trả cổ tức cho cổ đông công ty mẹ,Chi trả cổ tức cho cổ đông công ty mẹ,Chi trả cổ tức cho cổ đông công ty mẹ,-,-,-,264.485.561.200,264.485.561.200,,,,264485561200.0,264485561200.0
Giảm khác,Giảm khác,Giảm khác,-,9.666.453.284,-,-,9.666.453.284,,9666453284.0,,,9666453284.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,2.510.589.130.000,85.174.473.675,100.830.835.329,514.859.968.150,3.211.454.407.154,2510589130000.0,85174473675.0,100830835329.0,514859968150.0,3211454407154.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,175.730.520.000,-,14.876.800.000,77.622.838.717,268.230.158.717,175730520000.0,,14876800000.0,77622838717.0,268230158717.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,175.730.520.000,-,14.876.800.000,-,190.607.320.000,175730520000.0,,14876800000.0,,190607320000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,77.235.880.810,77.235.880.810,,,,77235880810.0,77235880810.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,386.957.907,386.957.907,,,,386957907.0,386957907.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,186.422.489,,319.408.776.129,319.595.198.618,,186422489.0,,319408776129.0,319595198618.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,301.259.976.500,301.259.976.500,,,,301259976500.0,301259976500.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,17.851.800.000,17.851.800.000,,,,17851800000.0,17851800000.0
Giảm do hợp nhất kinh doanh,Giảm do hợp nhất kinh doanh,Giảm do hợp nhất kinh doanh,-,-,-,166.985.375,166.985.375,,,,166985375.0,166985375.0
Giảm khác,Giảm khác,Giảm khác,-,186.422.489,-,130.014.254,316.436.743,,186422489.0,,130014254.0,316436743.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,2.686.319.650.000,84.988.051.186,115.707.635.329,273.074.030.739,3.160.089.367.254,2686319650000.0,84988051186.0,115707635329.0,273074030739.0,3160089367254.0
