row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanhtoán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > Công ty Cổ phần Tư vấn Giáo dục Sao Tím > Công ty CP Tư vấn thiết kế XDCT & TM AET > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Công ty CP Thủy điện MEGASTAR - Hồng Nam",31/12/2018 (VND) > 24.786.299.657 > - > 17.710.000,31/12/2018 (VND) > Giá trịcó thể thu hồi > -,31/12/2018 (VND) > Thời gianquá hạn,01/01/2018 (VND) > Giá gốc > 3.385.250.000 > 24.750.000 > 130.000.000 > 70.000.000 > -,01/01/2018 (VND) > Giá trịcó thể thu hồi > -,01/01/2018 (VND) > Thời gianquá hạn > Trên 3 năm,numeric__31/12/2018 (VND) > 24.786.299.657 > - > 17.710.000,numeric__31/12/2018 (VND) > Giá trịcó thể thu hồi > -,numeric__31/12/2018 (VND) > Thời gianquá hạn,numeric__01/01/2018 (VND) > Giá gốc > 3.385.250.000 > 24.750.000 > 130.000.000 > 70.000.000 > -,numeric__01/01/2018 (VND) > Giá trịcó thể thu hồi > -,numeric__01/01/2018 (VND) > Thời gianquá hạn > Trên 3 năm
Công ty CP TIC,Công ty CP TIC,Công ty CP TIC,21.597.589.657,-,,-,-,,21597589657.0,,,,,
Công ty IT Fusion,Công ty IT Fusion,Công ty IT Fusion,3.150.000.000,-,Trên 3 năm,3.150.000.000,-,Trên 3 năm,3150000000.0,,,3150000000.0,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,21.000.000,-,Trên 3 năm,10.500.000,-,Từ 1 năm đến 2 năm,21000000.0,,,10500000.0,,
Cộng,Cộng,Cộng,24.786.299.657,-,,3.385.250.000,-,,24786299657.0,,,3385250000.0,,
