row_label_raw,row_label_full,TÀI SẢN,MS,TM,31/12/2018VND,01/01/2018VND,numeric__MS,numeric__TM,numeric__31/12/2018VND,numeric__01/01/2018VND
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,2.117.560.373.052,1.789.831.452.027,100.0,,2117560373052.0,1789831452027.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,142.526.664.337,324.184.082.083,110.0,51.0,142526664337.0,324184082083.0
1. Tiền,1. Tiền,1. Tiền,111,,45.772.170.869,120.435.157.462,111.0,,45772170869.0,120435157462.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,96.754.493.468,203.748.924.621,112.0,,96754493468.0,203748924621.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.2,60.399.980.583,246.331.476.176,120.0,52.0,60399980583.0,246331476176.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,60.399.980.583,246.331.476.176,123.0,,60399980583.0,246331476176.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.667.038.767.749,995.954.574.876,130.0,,1667038767749.0,995954574876.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,1.425.563.311.150,611.303.376.283,131.0,53.0,1425563311150.0,611303376283.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.4,84.901.960.836,103.519.118.356,132.0,54.0,84901960836.0,103519118356.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,,41.711.579.797,50.932.232.203,135.0,,41711579797.0,50932232203.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,139.648.215.623,230.302.895.642,136.0,55.0,139648215623.0,230302895642.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(24.786.299.657),(235.250.000),137.0,,-24786299657.0,-235250000.0
3. Tài sản thiếu chờ xử lý,3. Tài sản thiếu chờ xử lý,3. Tài sản thiếu chờ xử lý,139,,-,132.202.392,139.0,,,132202392.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,5.7,78.661.264.649,48.421.852.629,140.0,57.0,78661264649.0,48421852629.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,78.661.264.649,48.421.852.629,141.0,,78661264649.0,48421852629.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,168.933.695.734,174.939.466.263,150.0,,168933695734.0,174939466263.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.11,64.629.867.891,33.278.225.798,151.0,511.0,64629867891.0,33278225798.0
