row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,MS,TM,31/12/2018VND,01/01/2018VND,numeric__NGUỒN VỐN_1,numeric__MS,numeric__TM,numeric__31/12/2018VND,numeric__01/01/2018VND
C,C,C,NỘ PHẢI TRẢ,300,,7.666.896.297.128,7.541.439.815.783,,300.0,,7666896297128.0,7541439815783.0
I.,I.,I.,Nợ ngắn hạn,310,,1.656.528.460.948,1.028.185.440.185,,310.0,,1656528460948.0,1028185440185.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.13,521.030.972.181,525.339.447.213,,311.0,513.0,521030972181.0,525339447213.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,5.15,131.424.665.774,92.526.563.231,,312.0,515.0,131424665774.0,92526563231.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.14,85.649.990.727,115.872.584.765,,313.0,514.0,85649990727.0,115872584765.0
4.,4.,4.,Phải trả người lao động,314,,12.438.438.369,21.517.486.075,,314.0,,12438438369.0,21517486075.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.16,62.810.486.678,140.289.088.202,,315.0,516.0,62810486678.0,140289088202.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,5.17,159.135.485,463.790.823,,318.0,517.0,159135485.0,463790823.0
7.,7.,7.,Phải trả ngắn hạn khác,319,5.18,759.570.640.964,92.718.750.075,,319.0,518.0,759570640964.0,92718750075.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,5.12,61.813.822.507,19.299.258.559,,320.0,512.0,61813822507.0,19299258559.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,21.630.308.263,20.158.471.242,,322.0,,21630308263.0,20158471242.0
II.,II.,II.,Nợ dài hạn,330,,6.010.367.836.180,6.513.254.375.598,,330.0,,6010367836180.0,6513254375598.0
1.,1.,1.,Phải trả người bán dài hạn,331,5.13,-,2.736.363.220,,331.0,513.0,,2736363220.0
2.,2.,2.,Chi phí phải trả dài hạn,333,5.16,11.359.372.612,3.009.079.072,,333.0,516.0,11359372612.0,3009079072.0
3.,3.,3.,Doanh thu chưa thực hiện dài hạn,336,5.17,3.513.492.814,5.352.249.276,,336.0,517.0,3513492814.0,5352249276.0
4.,4.,4.,Phải trả dài hạn khác,337,5.18,526.301.047.389,1.176.034.606.485,,337.0,518.0,526301047389.0,1176034606485.0
5.,5.,5.,Vay và nợ thuê tài chính dài hạn,338,5.12,5.430.733.177.906,5.295.353.481.178,,338.0,512.0,5430733177906.0,5295353481178.0
6.,6.,6.,Dự phòng phải trả dài hạn,342,5.19,38.460.745.459,30.768.596.367,,342.0,519.0,38460745459.0,30768596367.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,3.164.203.864.752,3.227.386.816.820,,400.0,,3164203864752.0,3227386816820.0
I.,I.,I.,Vốn chủ sở hữu,410,5.20,3.164.203.864.752,3.227.386.816.820,,410.0,520.0,3164203864752.0,3227386816820.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.686.319.650.000,2.510.589.130.000,,411.0,,2686319650000.0,2510589130000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.686.319.650.000,2.510.589.130.000,,,,2686319650000.0,2510589130000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,84.988.051.186,85.174.473.675,,412.0,,84988051186.0,85174473675.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,115.707.635.329,100.830.835.329,,418.0,,115707635329.0,100830835329.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,273.074.030.739,514.859.968.150,,421.0,,273074030739.0,514859968150.0
,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,195.838.149.929,210.028.716.606,,,,195838149929.0,210028716606.0
,,,- LNST chưa phân phối kỳ này,421b,,77.235.880.810,304.831.251.544,,,,77235880810.0,304831251544.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,4.114.497.498,15.932.409.666,,429.0,,4114497498.0,15932409666.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,10.831.100.161.880,10.768.826.632.603,,440.0,,10831100161880.0,10768826632603.0
