row_label_raw,row_label_full,5.16 Chi phí phải trả,5.16 Chi phí phải trả_1,5.16 Chi phí phải trả_2,numeric__5.16 Chi phí phải trả_1,numeric__5.16 Chi phí phải trả_2
,,,31/12/2018VND,01/01/2018VND,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,62.810.486.678,140.289.088.202,62810486678.0,140289088202.0
Trích trước giá vốn các Dự án,Trích trước giá vốn các Dự án,Trích trước giá vốn các Dự án,50.066.540.325,110.799.528.383,50066540325.0,110799528383.0
"Trích trước lãi trái phiếu chuyển đổi, lãi vay","Trích trước lãi trái phiếu chuyển đổi, lãi vay","Trích trước lãi trái phiếu chuyển đổi, lãi vay",814.610.811,27.800.377.551,814610811.0,27800377551.0
Trích trước chi phí khác,Trích trước chi phí khác,Trích trước chi phí khác,11.929.335.542,1.689.182.268,11929335542.0,1689182268.0
Dài hạn,Dài hạn,Dài hạn,11.359.372.612,3.009.079.072,11359372612.0,3009079072.0
Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,11.359.372.612,3.009.079.072,11359372612.0,3009079072.0
Tổng,Tổng,Tổng,74.169.859.290,143.298.167.274,74169859290.0,143298167274.0
