row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Phạm Quang Dùng,Phạm Quang Dùng,Phạm Quang Dùng,Chủ tịch HĐQT,
Phạm Thị Chi,Phạm Thị Chi,Phạm Thị Chi,Thành viên HĐQT,
Trần Thị Thanh Tân,Trần Thị Thanh Tân,Trần Thị Thanh Tân,Thành viên HĐQT,
Trần Hải Yến,Trần Hải Yến,Trần Hải Yến,Thành viên HĐQT,
Nguyễn Viết Tân,Nguyễn Viết Tân,Nguyễn Viết Tân,Thành viên HĐQT,
Đỗ Thanh Hương,Đỗ Thanh Hương,Đỗ Thanh Hương,Thành viên HĐQT,
Nguyễn Văn Dương,Nguyễn Văn Dương,Nguyễn Văn Dương,Tổng Giám đốc,
Nguyễn Dĩnh Siêu,Nguyễn Dĩnh Siêu,Nguyễn Dĩnh Siêu,Phó Tổng Giám đốc,
Khuất Trung Thắng,Khuất Trung Thắng,Khuất Trung Thắng,Phó Tổng Giám đốc,
Vũ Duy Hưng,Vũ Duy Hưng,Vũ Duy Hưng,Người có liên quan với thành viên HĐQT,
Phạm Thị Nhải,Phạm Thị Nhải,Phạm Thị Nhải,Người có liên quan với thành viên HĐQT,
Công ty Cổ phần BĐS Thái An,Công ty Cổ phần BĐS Thái An,Công ty Cổ phần BĐS Thái An,Công ty liên kết,
Công ty Cổ phần D-Tech,Công ty Cổ phần D-Tech,Công ty Cổ phần D-Tech,Công ty liên kết,
Công ty Cổ phần Bệnh viện Ban Mai,Công ty Cổ phần Bệnh viện Ban Mai,Công ty Cổ phần Bệnh viện Ban Mai,Công ty liên kết,
Tổng Công ty Thắng Long – CTCP,Tổng Công ty Thắng Long – CTCP,Tổng Công ty Thắng Long – CTCP,Công ty liên kết,
Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Công ty liên kết,
