row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Đơn vị tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhữu hình khác,numeric__Đơn vị tính: VNDTổng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,35.723.920.336,129.104.227.593,29.068.192.554,11.062.433.340,3.300.583.351.227,3.505.542.125.050,35723920336.0,129104227593.0,29068192554.0,11062433340.0,3300583351227.0,3505542125050.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,341.286.000,2.533.683.909,11.854.399.044,381.738.000,340.623.645.501,355.734.752.454,341286000.0,2533683909.0,11854399044.0,381738000.0,340623645501.0,355734752454.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,341.286.000,2.189.090.909,11.854.399.044,381.738.000,85.309.091,14.851.823.044,341286000.0,2189090909.0,11854399044.0,381738000.0,85309091.0,14851823044.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,344.593.000,-,-,340.538.336.410,340.882.929.410,,344593000.0,,,340538336410.0,340882929410.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,124.387.200,1.746.736.363,1.271.567.619,883.081.000,17.319.319.321,21.345.091.503,124387200.0,1746736363.0,1271567619.0,883081000.0,17319319321.0,21345091503.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",124.387.200,1.746.736.363,1.271.567.619,883.081.000,92.887.636,4.118.659.818,124387200.0,1746736363.0,1271567619.0,883081000.0,92887636.0,4118659818.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,-,17.226.431.685,17.226.431.685,,,,,17226431685.0,17226431685.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,35.940.819.136,129.891.175.139,39.651.023.979,10.561.090.340,3.623.887.677.407,3.839.931.786.001,35940819136.0,129891175139.0,39651023979.0,10561090340.0,3623887677407.0,3839931786001.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,15.670.532.890,9.748.805.071,11.601.424.623,6.382.720.552,713.397.712.858,756.801.195.994,15670532890.0,9748805071.0,11601424623.0,6382720552.0,713397712858.0,756801195994.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,1.690.415.315,10.817.633.824,3.452.385.003,777.971.486,161.651.837.738,178.390.243.366,1690415315.0,10817633824.0,3452385003.0,777971486.0,161651837738.0,178390243366.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.690.415.315,10.817.633.824,3.452.385.003,777.971.486,161.651.837.738,178.390.243.366,1690415315.0,10817633824.0,3452385003.0,777971486.0,161651837738.0,178390243366.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,19.435.500,709.527.906,979.985.217,883.081.000,6.174.349,2.598.203.972,19435500.0,709527906.0,979985217.0,883081000.0,6174349.0,2598203972.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",19.435.500,709.527.906,979.985.217,883.081.000,-,2.592.029.623,19435500.0,709527906.0,979985217.0,883081000.0,,2592029623.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,-,-,6.174.349,6.174.349,,,,,6174349.0,6174349.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,17.341.512.705,19.856.910.989,14.073.824.409,6.277.611.038,875.043.376.247,932.593.235.388,17341512705.0,19856910989.0,14073824409.0,6277611038.0,875043376247.0,932593235388.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,20.053.387.446,119.355.422.522,17.466.767.931,4.679.712.788,2.587.185.638.369,2.748.740.929.056,20053387446.0,119355422522.0,17466767931.0,4679712788.0,2587185638369.0,2748740929056.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,18.599.306.431,110.034.264.150,25.577.199.570,4.283.479.302,2.748.844.301.160,2.907.338.550.613,18599306431.0,110034264150.0,25577199570.0,4283479302.0,2748844301160.0,2907338550613.0
