row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2018VND,Giá trị ghi số > 01/01/2018VND,numeric__Giá trị ghi số > 31/12/2018VND,numeric__Giá trị ghi số > 01/01/2018VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,142.526.664.337,324.184.082.083,142526664337.0,324184082083.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.767.967.453.575,1.128.664.146.637,1767967453575.0,1128664146637.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,41.711.579.797,50.932.232.203,41711579797.0,50932232203.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,60.399.980.583,246.331.476.176,60399980583.0,246331476176.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,29.130.000.000,11.130.000.000,29130000000.0,11130000000.0
Tổng,Tài sản tài chính > Tổng,Tổng,2.041.735.678.292,1.761.241.937.099,2041735678292.0,1761241937099.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.806.902.660.534,1.796.829.166.993,1806902660534.0,1796829166993.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,74.169.859.290,143.298.167.274,74169859290.0,143298167274.0
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,5.492.547.000.413,5.314.652.739.737,5492547000413.0,5314652739737.0
Tổng,Công nợ tài chính > Tổng,Tổng,7.373.619.520.237,7.254.780.074.004,7373619520237.0,7254780074004.0
