row_label_raw,row_label_full,a. Chi tiết vốn chủ sở hữu,a. Chi tiết vốn chủ sở hữu_1,a. Chi tiết vốn chủ sở hữu_2,numeric__a. Chi tiết vốn chủ sở hữu_1,numeric__a. Chi tiết vốn chủ sở hữu_2
,,,31/12/2018VND,01/01/2018VND,,
Vốn góp của cổ đông,Vốn góp của cổ đông,Vốn góp của cổ đông,2.686.319.650.000,2.510.589.130.000,2686319650000.0,2510589130000.0
Tổng,Tổng,Tổng,2.686.319.650.000,2.510.589.130.000,2686319650000.0,2510589130000.0
