row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 01 đến 03 tháng,Từ 03 đến 06 tháng,Từ 06 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 01 đến 03 tháng,numeric__Từ 03 đến 06 tháng,numeric__Từ 06 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,242.435,-,-,-,-,-,-,242.435,,242435.0,,,,,,,242435.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,1.966.518,-,-,-,-,-,1.966.518,,,1966518.0,,,,,,1966518.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,3.064.609,-,136.554,-,-,-,3.201.163,,,3064609.0,,136554.0,,,,3201163.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),4.303.179,-,7.514.785,23.448.548,1.452.160,1.471.532,2.303.712,1.121.103,41.615.019,4303179.0,,7514785.0,23448548.0,1452160.0,1471532.0,2303712.0,1121103.0,41615019.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,-,-,-,-,-,-,-,,,,,,,,,
Chứng khoán đầu tư (*),Hoạt động mua nợ > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,52.463,-,-,250.000,-,5.782.490,4.428.972,10.513.925,,52463.0,,,250000.0,,5782490.0,4428972.0,10513925.0
"Góp vốn, đầu tư dài hạn (*)","Hoạt động mua nợ > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,919.600,919.600,,,,,,,,919600.0,919600.0
Tài sản cố định và Bất động sản đầu tư,Hoạt động mua nợ > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,-,707.713,707.713,,,,,,,,707713.0,707713.0
Tài sản Có khác (*),Hoạt động mua nợ > Tài sản Có khác (*),Tài sản Có khác (*),-,15.336.135,150.447,129.073,252.908,97.969,7.230,213,15.973.975,,15336135.0,150447.0,129073.0,252908.0,97969.0,7230.0,213.0,15973975.0
