row_label_raw,row_label_full,3.2. Cho vay các tổ chức tín dụng khác,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,-,136.554,,136554.0
Bằng VND,Bằng VND,Bằng VND,-,136.554,,136554.0
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,-,-,,
