row_label_raw,row_label_full,Hội đồng Quản trị > Bà BÙI THỊ THANH HƯƠNG > Ông NGUYỄN TIẾN D(~UNG > Bà TRƯƠNG LỆ HIỀN > Bà HOÀNG THU TRANG > Bà TRỊNH THANH MAI > Ông PHẠM THỂ HIỆP > Ông TAMAKI KIDO,Hội đồng Quản trị > Chủ tịch > Phó Chủ tịch > Thành viên > Thành viên độc lập,Ngày bổ nhiệm > 29/07/2021 > 18/06/2022 > 26/06/2020,Ngày miễn nhiệm > 18/06/2022,numeric__Hội đồng Quản trị > Chủ tịch > Phó Chủ tịch > Thành viên > Thành viên độc lập,numeric__Ngày bổ nhiệm > 29/07/2021 > 18/06/2022 > 26/06/2020,numeric__Ngày miễn nhiệm > 18/06/2022
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Trường ban,26/04/2018,,,,
Bà V(~KIM PHƯỢNG,Bà V(~KIM PHƯỢNG,Bà V(~KIM PHƯỢNG,Thành viên,24/04/2015,,,,
Bà TRẦN THỊ MINH HƯỆ,Bà TRẦN THỊ MINH HƯỆ,Bà TRẦN THỊ MINH HƯỆ,Thành viên,26/06/2020,,,,
Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,,,
Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Phó Tổng Giám đốc thường trực,13/05/2022,,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Quyền Tổng Giám đốc,03/08/2021,13/05/2022,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Phó Tổng Giám đốc,13/05/2022,25/12/2022,,,
Bà HOÀNG THU TRANG,Bà HOÀNG THU TRANG,Bà HOÀNG THU TRANG,Phó Tổng Giám đốc,03/08/2021,,,,
Bà LÊ KIM CHI,Bà LÊ KIM CHI,Bà LÊ KIM CHI,Phó Tổng Giám đốc,04/06/2021,15/08/2022,,,
Bà NGUYỄN THỊ THÙY DƯƠNG,Bà NGUYỄN THỊ THÙY DƯƠNG,Bà NGUYỄN THỊ THÙY DƯƠNG,Phó Tổng Giám đốc,03/08/2021,03/08/2022,,,
Ông NGUYỄN ĐỨC HIỂU,Ông NGUYỄN ĐỨC HIỂU,Ông NGUYỄN ĐỨC HIỂU,Phó Tổng Giám đốc,12/09/2022,,,,
Bà PHẠM THỊ HIỀN,Bà PHẠM THỊ HIỀN,Bà PHẠM THỊ HIỀN,Phó Tổng Giám đốc,14/11/2022,,,,
Bà ĐỒ THỊ ĐỨC MINH,Bà ĐỒ THỊ ĐỨC MINH,Bà ĐỒ THỊ ĐỨC MINH,Phó Tổng Giám đốc,08/12/2022,,,,
Ông TÀ KIỀU HUNG,Ông TÀ KIỀU HUNG,Ông TÀ KIỀU HUNG,Phó Tổng Giám đốc,08/12/2022,,,,
Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Kế toán trường,01/08/2016,02/12/2022,,,
Bà BÙI THỊ KHÁNH VÂN,Bà BÙI THỊ KHÁNH VÂN,Bà BÙI THỊ KHÁNH VÂN,Kế toán trường,02/12/2022,,,,
