row_label_raw,row_label_full,col_0,Giá trị đến31/12/2022,Giá trị đến01/01/2022,numeric__Giá trị đến31/12/2022,numeric__Giá trị đến01/01/2022
Loại tài sản đảm bảo,Loại tài sản đảm bảo,Loại tài sản đảm bảo,,,,
Bất động sản,Loại tài sản đảm bảo > Bất động sản,Bất động sản,68.938.149,60.556.100,68938149.0,60556100.0
Bảo lãnh,Loại tài sản đảm bảo > Bảo lãnh,Bảo lãnh,11.000,11.000,11000.0,11000.0
Chứng khoán của doanh nghiệp,Loại tài sản đảm bảo > Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,17.648.965,22.558.234,17648965.0,22558234.0
"Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Loại tài sản đảm bảo > Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Hàng hóa, nguyên liệu, nhiên liệu, vật liệu",5.450.712,5.502.891,5450712.0,5502891.0
Máy móc thiết bị chuyên dùng,Loại tài sản đảm bảo > Máy móc thiết bị chuyên dùng,Máy móc thiết bị chuyên dùng,1.560.516,1.761.414,1560516.0,1761414.0
Phương tiện vận tải,Loại tài sản đảm bảo > Phương tiện vận tải,Phương tiện vận tải,2.997.349,4.028.727,2997349.0,4028727.0
"Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Loại tài sản đảm bảo > Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD",43.406,141.195,43406.0,141195.0
"Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gỏi bằng VND tại NCB","Loại tài sản đảm bảo > Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gỏi bằng VND tại NCB","Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gỏi bằng VND tại NCB",2.816.569,2.969.362,2816569.0,2969362.0
Số dư tiền gửi ngoại tệ tại NCB,Loại tài sản đảm bảo > Số dư tiền gửi ngoại tệ tại NCB,Số dư tiền gửi ngoại tệ tại NCB,9.177,332.676,9177.0,332676.0
Loại khác,Loại tài sản đảm bảo > Loại khác,Loại khác,107.595.865,104.694.836,107595865.0,104694836.0
Tổng,Loại tài sản đảm bảo > Tổng,Tổng,207.071.708,202.556.435,207071708.0,202556435.0
