row_label_raw,row_label_full,Dự phòng rủi ro cho vay các TCTD khác,-,-_1,numeric__-,numeric__-_1
Cộng,Cộng,Cộng,-,136.554,,136554.0
Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,Tổng tiền gửi và cho vay các TCTD khác,11.658.653,3.201.163,11658653.0,3201163.0
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2022,01/01/2022,,
- Nợ đủ tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Nợ đủ tiêu chuẩn",- Nợ đủ tiêu chuẩn,11.658.653,3.201.163,11658653.0,3201163.0
Cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Cộng",Cộng,11.658.653,3.201.163,11658653.0,3201163.0
4. Cho vay khách hàng,4. Cho vay khách hàng,4. Cho vay khách hàng,,,,
,,,31/12/2022,01/01/2022,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","4. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",47.715.077,41.598.814,47715077.0,41598814.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","4. Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",7.196,16.205,7196.0,16205.0
Tổng cộng,4. Cho vay khách hàng > Tổng cộng,Tổng cộng,47.722.273,41.615.019,47722273.0,41615019.0
4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,,,,
,,,31/12/2022,01/01/2022,,
Nợ đủ tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,36.546.154,37.210.764,36546154.0,37210764.0
Nợ cần chú ý,4.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,2.619.629,3.154.827,2619629.0,3154827.0
Nợ dưới tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,1.027.743,603.033,1027743.0,603033.0
Nợ nghi ngờ,4.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,4.248.162,181.534,4248162.0,181534.0
Nợ có khả năng mất vốn,4.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,3.280.585,464.861,3280585.0,464861.0
Tổng cộng,4.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,47.722.273,41.615.019,47722273.0,41615019.0
4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,,,,
,,,31/12/2022,01/01/2022,,
Nợ ngắn hạn,4.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,15.945.165,11.372.276,15945165.0,11372276.0
Nợ trung hạn,4.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,16.597.448,15.507.953,16597448.0,15507953.0
Nợ dài hạn,4.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,15.179.660,14.734.790,15179660.0,14734790.0
Tổng cộng,4.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,47.722.273,41.615.019,47722273.0,41615019.0
4.3 Phân tích dư nợ cho vay theo ngành,4.3 Phân tích dư nợ cho vay theo ngành,4.3 Phân tích dư nợ cho vay theo ngành,,,,
,,,31/12/2022,01/01/2022,,
Nông nghiệp và lâm nghiệp,4.3 Phân tích dư nợ cho vay theo ngành > Nông nghiệp và lâm nghiệp,Nông nghiệp và lâm nghiệp,94.043,38.256,94043.0,38256.0
"Công nghiệp chế biến, chế tạo","4.3 Phân tích dư nợ cho vay theo ngành > Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",1.793.886,695.851,1793886.0,695851.0
Xây dựng,4.3 Phân tích dư nợ cho vay theo ngành > Xây dựng,Xây dựng,16.574.708,13.241.001,16574708.0,13241001.0
"Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy vàđộng cơ khác","4.3 Phân tích dư nợ cho vay theo ngành > Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy vàđộng cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy vàđộng cơ khác",4.412.914,768.102,4412914.0,768102.0
Dịch vụ lưu trú và ăn uống,4.3 Phân tích dư nợ cho vay theo ngành > Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.292.787,435.964,1292787.0,435964.0
Vận tải kho bãi,4.3 Phân tích dư nợ cho vay theo ngành > Vận tải kho bãi,Vận tải kho bãi,557.891,1.989.976,557891.0,1989976.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","4.3 Phân tích dư nợ cho vay theo ngành > Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",601.600,7.910.318,601600.0,7910318.0
Y tế và hoạt động trợ giúp xã hội,4.3 Phân tích dư nợ cho vay theo ngành > Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,788,30.442,788.0,30442.0
Hoạt động dịch vụ khác,4.3 Phân tích dư nợ cho vay theo ngành > Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,3.163.992,7.793.451,3163992.0,7793451.0
Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,4.3 Phân tích dư nợ cho vay theo ngành > Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,19.229.664,8.711.658,19229664.0,8711658.0
Tổng cộng,4.3 Phân tích dư nợ cho vay theo ngành > Tổng cộng,Tổng cộng,47.722.273,41.615.019,47722273.0,41615019.0
