row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,Năm 2022,Năm 2021,numeric__Thuyết minh,numeric__Năm 2022,numeric__Năm 2021
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,VI.17,4.763.294,5.542.515,,4763294.0,5542515.0
2. Chi phí lãi và các chi phí tương tự,2. Chi phí lãi và các chi phí tương tự,2. Chi phí lãi và các chi phí tương tự,VI.18,3.832.591,4.284.292,,3832591.0,4284292.0
I. Thu nhập lãi thuần,I. Thu nhập lãi thuần,I. Thu nhập lãi thuần,,930.703,1.258.223,,930703.0,1258223.0
3. Thu nhập từ hoạt động dịch vụ,3. Thu nhập từ hoạt động dịch vụ,3. Thu nhập từ hoạt động dịch vụ,,275.030,243.405,,275030.0,243405.0
4. Chi phí hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,,142.188,99.773,,142188.0,99773.0
II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,VI.19,132.842,143.632,,132842.0,143632.0
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,VI.20,83.813,(18.199),,83813.0,-18199.0
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,-,-,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,VI.21,166.748,356.714,,166748.0,356714.0
5. Thu nhập từ hoạt động khác,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > 5. Thu nhập từ hoạt động khác,5. Thu nhập từ hoạt động khác,,29.478,28.759,,29478.0,28759.0
6. Chi phí hoạt động khác,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > 6. Chi phí hoạt động khác,6. Chi phí hoạt động khác,,14.284,70.005,,14284.0,70005.0
VI. Lãi/lỗ thuần từ hoạt động khác,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > VI. Lãi/lỗ thuần từ hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,VI.22,15.194,(41.246),,15194.0,-41246.0
"VII. Thu nhập từ góp vốn, mua cổ phần","IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > VII. Thu nhập từ góp vốn, mua cổ phần","VII. Thu nhập từ góp vốn, mua cổ phần",,2.786,-,,2786.0,
VIII. Chi phí hoạt động,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > VIII. Chi phí hoạt động,VIII. Chi phí hoạt động,VI.23,1.023.479,949.360,,1023479.0,949360.0
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,308.607,749.764,,308607.0,749764.0
X.1 Chi phí dự phòng rủi ro tín dụng,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > X.1 Chi phí dự phòng rủi ro tín dụng,X.1 Chi phí dự phòng rủi ro tín dụng,,268.075,243.057,,268075.0,243057.0
X.2 Các khoản xử lý theo phương án cơ cấu lại NH,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > X.2 Các khoản xử lý theo phương án cơ cấu lại NH,X.2 Các khoản xử lý theo phương án cơ cấu lại NH,,40.000,506.147,,40000.0,506147.0
XI. Tổng lợi nhuận trước thuế,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > XI. Tổng lợi nhuận trước thuế,XI. Tổng lợi nhuận trước thuế,,532,560,,532.0,560.0
7. Chi phí thuế TNDN hiện hành,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh > 7. Chi phí thuế TNDN hiện hành,7. Chi phí thuế TNDN hiện hành,,532,560,,532.0,560.0
8. Chi phí thuế TNDN hoãn lại,8. Chi phí thuế TNDN hoãn lại,8. Chi phí thuế TNDN hoãn lại,,-,-,,,
XII. Chi phí thuế Thu nhập doanh nghiệp,8. Chi phí thuế TNDN hoãn lại > XII. Chi phí thuế Thu nhập doanh nghiệp,XII. Chi phí thuế Thu nhập doanh nghiệp,VI.24,532,560,,532.0,560.0
XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,,-,-,,,
