row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,numeric__Tập đoàn,numeric__Tập đoàn_1
,,,2015Triệu VND,2014Triệu VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,22.318,20.739,22318.0,20739.0
Tăng dự phòng trong năm,Tăng dự phòng trong năm,Tăng dự phòng trong năm,94.987,67.433,94987.0,67433.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(99.505),(61.739),-99505.0,-61739.0
Hoàn nhập,Hoàn nhập,Hoàn nhập,(1.177),(3.488),-1177.0,-3488.0
Bán một công ty con trước đây,Bán một công ty con trước đây,Bán một công ty con trước đây,-,(627),,-627.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,16.623,22.318,16623.0,22318.0
