row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,31/12/2015Triệu VND,1/1/2015Triệu VNDPhân loại lại,31/12/2015Triệu VND,1/1/2015Triệu VNDPhân loại lại,,,,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Khoản phải thu từ bán các khoản bồi thường,Phải thu ngắn hạn khác > Khoản phải thu từ bán các khoản bồi thường,Khoản phải thu từ bán các khoản bồi thường,256.200,256.200,-,-,256200.0,256200.0,,
Khoản phải thu phi thương mại từ các bên liên quan,Phải thu ngắn hạn khác > Khoản phải thu phi thương mại từ các bên liên quan,Khoản phải thu phi thương mại từ các bên liên quan,142.244,142.244,142.244,996.348,142244.0,142244.0,142244.0,996348.0
Ký quỹ ngắn hạn,Phải thu ngắn hạn khác > Ký quỹ ngắn hạn,Ký quỹ ngắn hạn,46.820,5.036,31,-,46820.0,5036.0,31.0,
Lãi trích trước phải thu từ các khoản tiền gửi,Phải thu ngắn hạn khác > Lãi trích trước phải thu từ các khoản tiền gửi,Lãi trích trước phải thu từ các khoản tiền gửi,11.773,64.972,2.905,3.398,11773.0,64972.0,2905.0,3398.0
Phải thu từ các dịch vụ,Phải thu ngắn hạn khác > Phải thu từ các dịch vụ,Phải thu từ các dịch vụ,11.547,11.547,11.547,11.547,11547.0,11547.0,11547.0,11547.0
Tạm ứng,Phải thu ngắn hạn khác > Tạm ứng,Tạm ứng,7.359,31.992,444,-,7359.0,31992.0,444.0,
Phải thu khác,Phải thu ngắn hạn khác > Phải thu khác,Phải thu khác,165.655,15.779,-,30.359,165655.0,15779.0,,30359.0
,,,641.598,527.770,157.171,1.041.652,641598.0,527770.0,157171.0,1041652.0
