row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,2015Triệu VND,2014Triệu VNDPhân loại lại,2015Triệu VND,2014Triệu VNDPhân loại lại,,,,
Chi phí lãi vay từ:,Chi phí lãi vay từ:,Chi phí lãi vay từ:,Chi phí lãi vay từ:,Chi phí lãi vay từ:,Chi phí lãi vay từ:,Chi phí lãi vay từ:,,,,
Ngân hàng,Chi phí lãi vay từ: > Ngân hàng,Ngân hàng,271.425,451.685,690,-,271425.0,451685.0,690.0,
Trái phiếu,Chi phí lãi vay từ: > Trái phiếu,Trái phiếu,2.106.907,1.013.037,551.379,689.200,2106907.0,1013037.0,551379.0,689200.0
Công ty con,Chi phí lãi vay từ: > Công ty con,Công ty con,-,-,28.952,220.087,,,28952.0,220087.0
Các bên khác,Chi phí lãi vay từ: > Các bên khác,Các bên khác,46.973,-,42.094,-,46973.0,,42094.0,
Lỗ chênh lệch tỷ giả hối đoái,Chi phí lãi vay từ: > Lỗ chênh lệch tỷ giả hối đoái,Lỗ chênh lệch tỷ giả hối đoái,206.819,95.933,718,14,206819.0,95933.0,718.0,14.0
Lỗ đã thực hiện từ các công cụ tài chính phải sinh,Chi phí lãi vay từ: > Lỗ đã thực hiện từ các công cụ tài chính phải sinh,Lỗ đã thực hiện từ các công cụ tài chính phải sinh,12.014,48.704,-,-,12014.0,48704.0,,
Chi phí tài chính khác,Chi phí lãi vay từ: > Chi phí tài chính khác,Chi phí tài chính khác,70.563,101.632,2.946,13.273,70563.0,101632.0,2946.0,13273.0
,,,2.714.701,1.710.991,626.779,922.574,2714701.0,1710991.0,626779.0,922574.0
