row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm muaTriệu VND,Các điều chỉnh giá trị hợp lýTriệu VND,Giá trị ghi nhận tại thời điểm muaTriệu VND,numeric__Giá trị ghi số trước thời điểm muaTriệu VND,numeric__Các điều chỉnh giá trị hợp lýTriệu VND,numeric__Giá trị ghi nhận tại thời điểm muaTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.869.174,-,1.869.174,1869174.0,,1869174.0
Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,577.500,-,577.500,577500.0,,577500.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,859.515,-,859.515,859515.0,,859515.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,3.155.172,-,3.155.172,3155172.0,,3155172.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,56.580,-,56.580,56580.0,,56580.0
Các khoản phải thu – dài hạn,Các khoản phải thu – dài hạn,Các khoản phải thu – dài hạn,54.434,-,54.434,54434.0,,54434.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,1.150.394,24.102,1.174.496,1150394.0,24102.0,1174496.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,4.682.517,487.538,5.170.055,4682517.0,487538.0,5170055.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,223.192,-,223.192,223192.0,,223192.0
Đầu tư vào công ty liên kết và góp vốn vào đơn vị khác,Đầu tư vào công ty liên kết và góp vốn vào đơn vị khác,Đầu tư vào công ty liên kết và góp vốn vào đơn vị khác,48.340,-,48.340,48340.0,,48340.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,121.257,-,121.257,121257.0,,121257.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,72.542,-,72.542,72542.0,,72542.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(682.900),-,(682.900),-682900.0,,-682900.0
Nợ phải trả ngắn hạn khác,Nợ phải trả ngắn hạn khác,Nợ phải trả ngắn hạn khác,(1.573.137),-,(1.573.137),-1573137.0,,-1573137.0
Vay dài hạn và nợ thuê tài chính,Vay dài hạn và nợ thuê tài chính,Vay dài hạn và nợ thuê tài chính,(3.645.425),-,(3.645.425),-3645425.0,,-3645425.0
Nợ thuế thu nhập hoãn lại,Nợ thuế thu nhập hoãn lại,Nợ thuế thu nhập hoãn lại,(742.779),(76.746),(819.525),-742779.0,-76746.0,-819525.0
Dự phòng dài hạn,Dự phòng dài hạn,Dự phòng dài hạn,(32.904),-,(32.904),-32904.0,,-32904.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,(4.039.942),(248.081),(4.288.023),-4039942.0,-248081.0,-4288023.0
Tổng tài sản thuần có thể xác định được,Tổng tài sản thuần có thể xác định được,Tổng tài sản thuần có thể xác định được,2.153.530,186.813,2.340.343,2153530.0,186813.0,2340343.0
Tài sản thuần mua được,Tài sản thuần mua được,Tài sản thuần mua được,,,2.340.331,,,2340331.0
Lãi từ giao dịch mua rè (Thuyết minh 29),Lãi từ giao dịch mua rè (Thuyết minh 29),Lãi từ giao dịch mua rè (Thuyết minh 29),,,(147.641),,,-147641.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,2.192.690,,,2192690.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(1.869.174),,,-1869174.0
Tiền thuần chi ra,Tiền thuần chi ra,Tiền thuần chi ra,,,323.516,,,323516.0
