row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2015Triệu VND,2014Triệu VND,numeric__Tính chất giao dịch,numeric__2015Triệu VND,numeric__2014Triệu VND
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty Cổ phần,Các công ty con > Công ty Cổ phần,Công ty Cổ phần,Cho khoản vay đã nhận,-,735.000,,,735000.0
Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Các công ty con > Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Thanh toán khoản vay cho một công ty con thôngqua các hợp đồng chuyển nhượng các khoản chovay cho một công ty con khác,-,7.709.298,,,7709298.0
Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Các công ty con > Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Thanh toán chi phí lãi cho một công ty con thôngqua các hợp đồng chuyển nhượng các khoản chovay cho một công ty con khác,-,2.831.626,,,2831626.0
Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Các công ty con > Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Thu nhập từ cổ tức,-,1.240.800,,,1240800.0
Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Các công ty con > Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Chi phí lãi từ khoản vay dài hạn,-,222.087,,,222087.0
Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Các công ty con > Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Hàng Tiêu Dùng Masan(trước đây là Công tyCổ phần Hàng Tiêu DùngMa San),Mua một công ty con,-,1.246.496,,,1246496.0
Công ty Cổ phần Tầm nhìnMasan (trước đây làCông ty Cổ phần Tầm nhìnMa San),Các công ty con > Công ty Cổ phần Tầm nhìnMasan (trước đây làCông ty Cổ phần Tầm nhìnMa San),Công ty Cổ phần Tầm nhìnMasan (trước đây làCông ty Cổ phần Tầm nhìnMa San),Khoản vay cấp,3.196,941.588,,3196.0,941588.0
Công ty Cổ phần Tầm nhìnMasan (trước đây làCông ty Cổ phần Tầm nhìnMa San),Các công ty con > Công ty Cổ phần Tầm nhìnMasan (trước đây làCông ty Cổ phần Tầm nhìnMa San),Công ty Cổ phần Tầm nhìnMasan (trước đây làCông ty Cổ phần Tầm nhìnMa San),Thu nhập lãi cho vay,546.907,475.115,,546907.0,475115.0
Công ty Cổ phầnTài nguyên Ma San,Các công ty con > Công ty Cổ phầnTài nguyên Ma San,Công ty Cổ phầnTài nguyên Ma San,Thu nhập lãi cho vay,52.914,141.527,,52914.0,141527.0
Công ty Cổ phầnTài nguyên Ma San,Các công ty con > Công ty Cổ phầnTài nguyên Ma San,Công ty Cổ phầnTài nguyên Ma San,Lãi vay được nhận,786.000,-,,786000.0,
Công ty Cổ phầnTài nguyên Ma San,Các công ty con > Công ty Cổ phầnTài nguyên Ma San,Công ty Cổ phầnTài nguyên Ma San,Khoản cho vay được nhận,210.000,-,,210000.0,
Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Các công ty con > Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Thu nhập lãi cho vay,11.322,123.664,,11322.0,123664.0
Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Các công ty con > Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Khoản vay cấp,-,210.000,,,210000.0
Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Các công ty con > Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Công ty TNHH Khai ThácChế Biến Khoáng SảnNúi Pháo,Nợ đã đối trừ,490.000,-,,490000.0,
Công ty TNHHMasan Brewery,Các công ty con > Công ty TNHHMasan Brewery,Công ty TNHHMasan Brewery,Khoản vay cấp,-,475.657,,,475657.0
Công ty TNHHMasan Brewery,Các công ty con > Công ty TNHHMasan Brewery,Công ty TNHHMasan Brewery,Khoản cho vay thu,79.569,452.577,,79569.0,452577.0
Công ty TNHHMasan Brewery,Các công ty con > Công ty TNHHMasan Brewery,Công ty TNHHMasan Brewery,Thu nhập lãi cho vay,1.345,32.436,,1345.0,32436.0
Công ty TNHHMasan Brewery,Các công ty con > Công ty TNHHMasan Brewery,Công ty TNHHMasan Brewery,Khoản cho vay thu từ cấn trừ vốn góp,-,368.300,,,368300.0
Công ty TNHHMasan Brewery,Các công ty con > Công ty TNHHMasan Brewery,Công ty TNHHMasan Brewery,Lãi đã nhận,4.897,-,,4897.0,
Công ty TNHHMasanConsumerHoldings,Các công ty con > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Chuyển cổ phần cho một công ty con khác,-,4.409.682,,,4409682.0
Công ty TNHHMasanConsumerHoldings,Các công ty con > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Thu nhập từ cổ tức,-,1.928.252,,,1928252.0
Công ty TNHHMasanConsumerHoldings,Các công ty con > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Khoản vay cấp,-,194.465,,,194465.0
Công ty TNHHMasanConsumerHoldings,Các công ty con > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Khoản cho vay thu,-,194.465,,,194465.0
Công ty TNHHMasanConsumerHoldings,Các công ty con > Công ty TNHHMasanConsumerHoldings,Công ty TNHHMasanConsumerHoldings,Thu nhập lãi cho vay,-,2.353,,,2353.0
Công ty TNHH Shika,Các công ty con > Công ty TNHH Shika,Công ty TNHH Shika,Khoản vay cấp,1.050.500,-,,1050500.0,
Công ty TNHH Shika,Các công ty con > Công ty TNHH Shika,Công ty TNHH Shika,Thu nhập lãi cho vay,4.653,-,,4653.0,
Công ty TNHH Shika,Các công ty con > Công ty TNHH Shika,Công ty TNHH Shika,Khoản cho vay đã thu,237.000,-,,237000.0,
Công ty TNHH Kenji,Các công ty con > Công ty TNHH Kenji,Công ty TNHH Kenji,Khoản cho vay đã nhận,629.000,-,,629000.0,
Công ty TNHH Kenji,Các công ty con > Công ty TNHH Kenji,Công ty TNHH Kenji,Nhận chi phí lãi cho vay,28.952,-,,28952.0,
Công ty TNHH Kenji,Các công ty con > Công ty TNHH Kenji,Công ty TNHH Kenji,Khoản cho vay đã hoàn trả,629.000,-,,629000.0,
Công ty TNHH Kenji,Các công ty con > Công ty TNHH Kenji,Công ty TNHH Kenji,Lãi đã hoàn trả,28.952,-,,28952.0,
Ban quản lý chủ chốt,Các công ty con > Ban quản lý chủ chốt,Ban quản lý chủ chốt,Thù lao trả cho ban quản lý chủ chốt (*),5.260,3.518,,5260.0,3518.0
