row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Giá trị ghi số Triệu VND,Dòng tiền theo hợp đồng Triệu VND,Trong vòng 1 năm Triệu VND,1 – 2 năm Triệu VND,2 – 5 năm Triệu VND,Trên 5 năm Triệu VND,numeric__Giá trị ghi số Triệu VND,numeric__Dòng tiền theo hợp đồng Triệu VND,numeric__Trong vòng 1 năm Triệu VND,numeric__1 – 2 năm Triệu VND,numeric__2 – 5 năm Triệu VND,numeric__Trên 5 năm Triệu VND
Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,2.419.059,(2.419.059),(2.419.059),-,-,-,2419059.0,-2419059.0,-2419059.0,,,
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,257.716,(257.716),(257.716),-,-,-,257716.0,-257716.0,-257716.0,,,
Chi phí phải trả – ngắn hạn,Chi phí phải trả – ngắn hạn,Chi phí phải trả – ngắn hạn,2.875.921,(2.875.921),(2.875.921),-,-,-,2875921.0,-2875921.0,-2875921.0,,,
"Phải trả ngắn hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu","Phải trả ngắn hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu","Phải trả ngắn hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu",337.912,(337.912),(337.912),-,-,-,337912.0,-337912.0,-337912.0,,,
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",5.302.490,(5.389.751),(5.389.751),-,-,-,5302490.0,-5389751.0,-5389751.0,,,
Phải trả người bán – dài hạn,Phải trả người bán – dài hạn,Phải trả người bán – dài hạn,75.845,(75.845),-,(75.845),-,-,75845.0,-75845.0,,-75845.0,,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,97.813,(97.813),-,(97.813),-,-,97813.0,-97813.0,,-97813.0,,
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",30.746.161,(41.587.364),(5.110.356),(2.525.331),(31.191.645),(2.760.032),30746161.0,-41587364.0,-5110356.0,-2525331.0,-31191645.0,-2760032.0
,,,42.112.917,(53.041.381),(16.390.715),(2.698.989),(31.191.645),(2.760.032),42112917.0,-53041381.0,-16390715.0,-2698989.0,-31191645.0,-2760032.0
Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Giá trị ghi số Triệu VND,Dòng tiền theo hợp đồng Triệu VND,Trong vòng 1 năm Triệu VND,1 – 2 năm Triệu VND,2 – 5 năm Triệu VND,Trên 5 năm Triệu VND,,,,,,
Phải trả người bán – ngắn hạn,Ngày 1 tháng 1 năm 2015 > Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,999.340,(999.340),(999.340),-,-,-,999340.0,-999340.0,-999340.0,,,
Phải trả nhân viên,Ngày 1 tháng 1 năm 2015 > Phải trả nhân viên,Phải trả nhân viên,258,(258),(258),-,-,-,258.0,-258.0,-258.0,,,
Chi phí phải trả – ngắn hạn,Ngày 1 tháng 1 năm 2015 > Chi phí phải trả – ngắn hạn,Chi phí phải trả – ngắn hạn,1.862.531,(1.862.531),(1.862.531),-,-,-,1862531.0,-1862531.0,-1862531.0,,,
Phải trả khác – ngắn hạn,Ngày 1 tháng 1 năm 2015 > Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,1.866.738,(1.866.738),(1.866.738),-,-,-,1866738.0,-1866738.0,-1866738.0,,,
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Ngày 1 tháng 1 năm 2015 > Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",5.329.971,(5.394.075),(5.394.075),-,-,-,5329971.0,-5394075.0,-5394075.0,,,
"Phải trả dài hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu","Ngày 1 tháng 1 năm 2015 > Phải trả dài hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu","Phải trả dài hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu",117.340,(117.340),-,(117.340),-,-,117340.0,-117340.0,,-117340.0,,
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Ngày 1 tháng 1 năm 2015 > Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",18.234.277,(24.596.493),(1.689.081),(9.392.100),(10.574.829),(2.940.483),18234277.0,-24596493.0,-1689081.0,-9392100.0,-10574829.0,-2940483.0
,,,28.410.455,(34.836.775),(11.812.023),(9.509.440),(10.574.829),(2.940.483),28410455.0,-34836775.0,-11812023.0,-9509440.0,-10574829.0,-2940483.0
