row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Vốn khác Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông vốn chủ sở hữu của Tập đoàn Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Vốn khác Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông vốn chủ sở hữu của Tập đoàn Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2015 - theo báo cáo trước đây,Số dư tại ngày 1 tháng 1 năm 2015 - theo báo cáo trước đây,Số dư tại ngày 1 tháng 1 năm 2015 - theo báo cáo trước đây,7.358.081,9.631.164,97.703,(9.142.752),7.071.887,15.016.083,6.909.056,21.925.139,7358081.0,9631164.0,97703.0,-9142752.0,7071887.0,15016083.0,6909056.0,21925139.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,(9.142.752),9.142.752,-,-,-,-,,,-9142752.0,9142752.0,,,,
Số dư tại ngày 1 tháng 1 năm 2015 – phân loại lại,Số dư tại ngày 1 tháng 1 năm 2015 – phân loại lại,Số dư tại ngày 1 tháng 1 năm 2015 – phân loại lại,7.358.081,9.631.164,(9.045.049),-,7.071.887,15.016.083,6.909.056,21.925.139,7358081.0,9631164.0,-9045049.0,,7071887.0,15016083.0,6909056.0,21925139.0
Phát hành cổ phiếu mới (Thuyết minh 24),Phát hành cổ phiếu mới (Thuyết minh 24),Phát hành cổ phiếu mới (Thuyết minh 24),109.098,(58),-,-,-,109.040,-,109.040,109098.0,-58.0,,,,109040.0,,109040.0
Giao dịch với cổ đông không kiểm soát (Thuyết minh 8),Giao dịch với cổ đông không kiểm soát (Thuyết minh 8),Giao dịch với cổ đông không kiểm soát (Thuyết minh 8),-,-,-,-,14.022,14.022,(1.082.987),(1.068.965),,,,,14022.0,14022.0,-1082987.0,-1068965.0
Hợp nhất kinh doanh trong MNS (Thuyết minh 6b),Hợp nhất kinh doanh trong MNS (Thuyết minh 6b),Hợp nhất kinh doanh trong MNS (Thuyết minh 6b),-,-,-,-,-,-,4.288.035,4.288.035,,,,,,,4288035.0,4288035.0
Chi trả phí Ban Tổng Giám đốc của công ty con,Chi trả phí Ban Tổng Giám đốc của công ty con,Chi trả phí Ban Tổng Giám đốc của công ty con,-,-,-,-,(1.679),(1.679),(1.477),(3.156),,,,,-1679.0,-1679.0,-1477.0,-3156.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.478.292,1.478.292,1.048.958,2.527.250,,,,,1478292.0,1478292.0,1048958.0,2527250.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(666.846),(666.846),,,,,,,-666846.0,-666846.0
Phân bổ vào các quỹ khác,Phân bổ vào các quỹ khác,Phân bổ vào các quỹ khác,-,-,-,-,(1.142),(1.142),(309),(1.451),,,,,-1142.0,-1142.0,-309.0,-1451.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,7.467.179,9.631.106,(9.045.049),-,8.561.380,16.614.616,10.494.430,27.109.046,7467179.0,9631106.0,-9045049.0,,8561380.0,16614616.0,10494430.0,27109046.0
