row_label_raw,row_label_full,col_0,Quyền khai thác mỗ Triệu VND,Chi phí phục hồi mỗ Triệu VND,Dự phòng trợ cấp thời việc Triệu VND,Tổng Triệu VND,numeric__Quyền khai thác mỗ Triệu VND,numeric__Chi phí phục hồi mỗ Triệu VND,numeric__Dự phòng trợ cấp thời việc Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,588.371,19.487,2.689,610.547,588371.0,19487.0,2689.0,610547.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,-,-,32.904,32.904,,,32904.0,32904.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,46.016,1.500,1.248,48.764,46016.0,1500.0,1248.0,48764.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(73.146),-,(2.493),(75.639),-73146.0,,-2493.0,-75639.0
Hoàn nhập,Hoàn nhập,Hoàn nhập,-,-,(641),(641),,,-641.0,-641.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,561.241,20.987,33.707,615.935,561241.0,20987.0,33707.0,615935.0
