row_label_raw,row_label_full,col_0,Nâng cấptài sản thuc Triếu VND,Thiet biyân phongTriếu VND,TùngTriếu VND,numeric__Nâng cấptài sản thuc Triếu VND,numeric__Thiet biyân phongTriếu VND,numeric__TùngTriếu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư dàu nám,Nguyên giá > Số dư dàu nám,Số dư dàu nám,15.098,5.661,20.759,15098.0,5661.0,20759.0
Tăng trong nám,Nguyên giá > Tăng trong nám,Tăng trong nám,42,98,140,42.0,98.0,140.0
Số dư cuói nám,Nguyên giá > Số dư cuói nám,Số dư cuói nám,15.140,5.759,20.899,15140.0,5759.0,20899.0
Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,Giá tri hao mòn luy ké,,,
Số dư dàu nám,Giá tri hao mòn luy ké > Số dư dàu nám,Số dư dàu nám,11.353,2.234,13.587,11353.0,2234.0,13587.0
Khái hao trong nám,Giá tri hao mòn luy ké > Khái hao trong nám,Khái hao trong nám,2.424,2.459,4.883,2424.0,2459.0,4883.0
Số dư cuói nám,Giá tri hao mòn luy ké > Số dư cuói nám,Số dư cuói nám,13.777,4.693,18.470,13777.0,4693.0,18470.0
Giá tri còn lái,Giá tri còn lái,Giá tri còn lái,Giá tri còn lái,Giá tri còn lái,Giá tri còn lái,,,
Số dư dàu nám,Giá tri còn lái > Số dư dàu nám,Số dư dàu nám,3.745,3.427,7.172,3745.0,3427.0,7172.0
Số dư cuói nám,Giá tri còn lái > Số dư cuói nám,Số dư cuói nám,1.363,1.066,2.429,1363.0,1066.0,2429.0
