row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,171.419,183.107,19.076,36.627,1.040.564,26.394,1.477.187,171419.0,183107.0,19076.0,36627.0,1040564.0,26394.0,1477187.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,173.556,203.440,3.925,15.415,828.175,19.249,1.243.760,173556.0,203440.0,3925.0,15415.0,828175.0,19249.0,1243760.0
Chuyển sang chi phí trả trước dài hạn (*),Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn (*),Chuyển sang chi phí trả trước dài hạn (*),(33.842),-,-,-,(3),-,(33.845),-33842.0,,,,-3.0,,-33845.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(7.515),-,(834),(29.464),(4.456),(42.269),,-7515.0,,-834.0,-29464.0,-4456.0,-42269.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(2.405),-,(4.468),(1.259),(4.631),(12.763),,-2405.0,,-4468.0,-1259.0,-4631.0,-12763.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(968),812,(292),1.926,(1.478),-,,-968.0,812.0,-292.0,1926.0,-1478.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,311.133,375.659,23.813,46.448,1.839.939,35.078,2.632.070,311133.0,375659.0,23813.0,46448.0,1839939.0,35078.0,2632070.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.628.632,2.622.385,6.684,40.857,10.082.507,28.848,18.409.913,5628632.0,2622385.0,6684.0,40857.0,10082507.0,28848.0,18409913.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.715.159,3.534.479,1.948,67.720,11.556.202,89.554,19.965.062,4715159.0,3534479.0,1948.0,67720.0,11556202.0,89554.0,19965062.0
