row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Cho vay và phải thu Triệu VND,Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND,Tổng giá trị ghi sổ Triệu VND,numeric__Cho vay và phải thu Triệu VND,numeric__Nợ phải trả tài chính được xác định theo giá trị phân bổ Triệu VND,numeric__Tổng giá trị ghi sổ Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.103.659,-,1.103.659,1103659.0,,1103659.0
Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,287.890,-,287.890,287890.0,,287890.0
Phải thu khách hàng – ngắn hạn – thuần (*),Phải thu khách hàng – ngắn hạn – thuần (*),Phải thu khách hàng – ngắn hạn – thuần (*),19.421,-,19.421,19421.0,,19421.0
Phải thu khác – ngắn hạn (*),Phải thu khác – ngắn hạn (*),Phải thu khác – ngắn hạn (*),157.171,-,157.171,157171.0,,157171.0
Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,4.773.374,-,4.773.374,4773374.0,,4773374.0
Phải thu dài hạn khác (*),Phải thu dài hạn khác (*),Phải thu dài hạn khác (*),3.132.671,-,3.132.671,3132671.0,,3132671.0
,,,9.474.186,-,9.474.186,9474186.0,,9474186.0
Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,-,(240),(240),,-240.0,-240.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,-,(147.891),(147.891),,-147891.0,-147891.0
Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,-,(111.611),(111.611),,-111611.0,-111611.0
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",-,(2.844.842),(2.844.842),,-2844842.0,-2844842.0
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",-,(3.988.722),(3.988.722),,-3988722.0,-3988722.0
,,,-,(7.093.306),(7.093.306),,-7093306.0,-7093306.0
