row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Tập đoàn > 31/12/2015Triệu VND,Tập đoàn > 1/1/2015Triệu VND,Công ty > 31/12/2015Triệu VND,Công ty > 1/1/2015Triệu VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Tập đoàn > 31/12/2015Triệu VND,numeric__Tập đoàn > 1/1/2015Triệu VND,numeric__Công ty > 31/12/2015Triệu VND,numeric__Công ty > 1/1/2015Triệu VND
Vay ngắn hạnKhoản vay ngân hàngcó đảm bảo,Vay ngắn hạnKhoản vay ngân hàngcó đảm bảo,Vay ngắn hạnKhoản vay ngân hàngcó đảm bảo,VND,"3,8% - 8,0%",681.916,3.327.030,-,-,,,681916.0,3327030.0,,
Khoản vay ngân hàngcó đảm bảo,Khoản vay ngân hàngcó đảm bảo,Khoản vay ngân hàngcó đảm bảo,USD,"4,5%",1.732.671,1.035.382,-,-,,0.045,1732671.0,1035382.0,,
Khoản vay ngân hàngkhông đảm báo,Khoản vay ngân hàngkhông đảm báo,Khoản vay ngân hàngkhông đảm báo,VND,"3,8% - 5,5%",2.322.068,928.228,-,-,,,2322068.0,928228.0,,
Khoản vay khôngđảm bào,Khoản vay khôngđảm bào,Khoản vay khôngđảm bào,USD,"8,5%",565.835,39.331,-,-,,0.085,565835.0,39331.0,,
,,,,,5.302.490,5.329.971,-,-,,,5302490.0,5329971.0,,
