row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2015Triệu VND,Tập đoàn > 2014Triệu VNDPhân loại lại,Công ty > 2015Triệu VND,Công ty > 2014Triệu VNDPhân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2015Triệu VND,numeric__Tập đoàn > 2014Triệu VNDPhân loại lại,numeric__Công ty > 2015Triệu VND,numeric__Công ty > 2014Triệu VNDPhân loại lại
Lợi nhuận/(lỗ) kế toán trước thuế(50 = 30 + 40)(mang sang từ trang trước),Lợi nhuận/(lỗ) kế toán trước thuế(50 = 30 + 40)(mang sang từ trang trước),Lợi nhuận/(lỗ) kế toán trước thuế(50 = 30 + 40)(mang sang từ trang trước),50,,3.226.729,2.739.731,(522.355),3.237.391,50.0,,3226729.0,2739731.0,-522355.0,3237391.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,36,817.534,958.677,-,-,51.0,36.0,817534.0,958677.0,,
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,36,(118.055),(255.988),-,-,52.0,36.0,-118055.0,-255988.0,,
Lợi nhuận/(lỗ) sau thuế TNDN(60 = 50 - 51 - 52),Lợi nhuận/(lỗ) sau thuế TNDN(60 = 50 - 51 - 52),Lợi nhuận/(lỗ) sau thuế TNDN(60 = 50 - 51 - 52),60,,2.527.250,2.037.042,(522.355),3.237.391,60.0,,2527250.0,2037042.0,-522355.0,3237391.0
Phân bổ:,Phân bổ:,Phân bổ:,Phân bổ:,Phân bổ:,Phân bổ:,Phân bổ:,Phân bổ:,Phân bổ:,,,,,,
Cổ đông của Công ty,Phân bổ: > Cổ đông của Công ty,Cổ đông của Công ty,61,,1.478.292,1.080.169,(522.355),3.237.391,61.0,,1478292.0,1080169.0,-522355.0,3237391.0
Lợi ích cổ đông không kiểm soát,Phân bổ: > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,62,,1.048.958,956.873,-,-,62.0,,1048958.0,956873.0,,
Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,,,VND,VND,VND,VND,,,,,,
Lãi cơ bản trên cổ phiếu,Lãi trên cổ phiếu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,38,1.965,1.447,-,-,70.0,38.0,1965.0,1447.0,,
Lãi suy giảm trên cổ phiếu,Lãi trên cổ phiếu > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,38,1.963,1.418,-,-,71.0,38.0,1963.0,1418.0,,
