row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.800.051,2.805.492,25.760,77.484,11.123.071,55.242,19.887.100,5800051.0,2805492.0,25760.0,77484.0,11123071.0,55242.0,19887100.0
Tăng từ hợp nhất kinh doanh(Thuyết minh 6),Nguyên giá > Tăng từ hợp nhất kinh doanh(Thuyết minh 6),Tăng từ hợp nhất kinh doanh(Thuyết minh 6),-,531.610,-,1.630,611.904,72.372,1.217.516,,531610.0,,1630.0,611904.0,72372.0,1217516.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,83.422,43,19.551,109.311,4.755,217.082,,83422.0,43.0,19551.0,109311.0,4755.0,217082.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,487.079,-,20.306,1.607.273,3.588,2.118.246,,487079.0,,20306.0,1607273.0,3588.0,2118246.0
Chuyển sang chi phí trả trước dài hạn (*),Nguyên giá > Chuyển sang chi phí trả trước dài hạn (*),Chuyển sang chi phí trả trước dài hạn (*),(773.759),(52),-,-,798,-,(773.013),-773759.0,-52.0,,,798.0,,-773013.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(12.317),-,(836),(39.257),(4.626),(57.036),,-12317.0,,-836.0,-39257.0,-4626.0,-57036.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(2.405),-,(4.468),(1.259),(4.631),(12.763),,-2405.0,,-4468.0,-1259.0,-4631.0,-12763.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,17.309,(42),501,(15.700),(2.068),-,,17309.0,-42.0,501.0,-15700.0,-2068.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.026.292,3.910.138,25.761,114.168,13.396.141,124.632,22.597.132,5026292.0,3910138.0,25761.0,114168.0,13396141.0,124632.0,22597132.0
