row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,1/1/2015(phân loại lại)Triệu VND,31/12/2014(theo báo cáo trước đây)Triệu VND,1/1/2015(phân loại lại)Triệu VND,31/12/2014(theo báo cáo trước đây)Triệu VND,,,,
Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,-,-,2.172.320,-,,,2172320.0,
Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,Phải thu khác – ngắn hạn,527.770,490.742,1.041.652,3.183.613,527770.0,490742.0,1041652.0,3183613.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,13.615,-,-,-,13615.0,,,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,50.643,-,30.359,,50643.0,,30359.0
Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,-,-,2.283.927,-,,,2283927.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,1.447.633,1.387.798,2.741.703,5.016.249,1447633.0,1387798.0,2741703.0,5016249.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,8.601.126,8.597.526,-,-,8601126.0,8597526.0,,
Các khoản đầu tư nắn giữ đến ngày đáo hạn – dài hạn,Các khoản đầu tư nắn giữ đến ngày đáo hạn – dài hạn,Các khoản đầu tư nắn giữ đến ngày đáo hạn – dài hạn,144.050,147.650,-,-,144050.0,147650.0,,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,-,59.835,-,9.381,,59835.0,,9381.0
Vốn khác thuộc vốn chủ sở hữu,Vốn khác thuộc vốn chủ sở hữu,Vốn khác thuộc vốn chủ sở hữu,(9.045.049),97.703,(1.488.972),97.703,-9045049.0,97703.0,-1488972.0,97703.0
Vốn khác,Vốn khác,Vốn khác,-,(9.142.752),-,(1.586.675),,-9142752.0,,-1586675.0
