row_label_raw,row_label_full,col_0,MCHTriệu VND,MHTriệu VND,MNSTriệu VND,TổngTriệu VND,numeric__MCHTriệu VND,numeric__MHTriệu VND,numeric__MNSTriệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,516.600,2.873.314,-,3.389.914,516600.0,2873314.0,,3389914.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 6b),Tăng từ hợp nhất kinh doanh (Thuyết minh 6b),Tăng từ hợp nhất kinh doanh (Thuyết minh 6b),-,-,2.192.690,2.192.690,,,2192690.0,2192690.0
Góp vốn,Góp vốn,Góp vốn,-,943.501,-,943.501,,943501.0,,943501.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,516.600,3.816.815,2.192.690,6.526.105,516600.0,3816815.0,2192690.0,6526105.0
