row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Nhăn hiệu Triệu VND,Mối quan hệ khách hàng Triệu VND,Nguồn nước khoáng Triệu VND,Quyền khai khoáng Triệu VND,Kỹ thuật Triệu VND,Quyền khai thác nguồn nước khoáng Triệu VND,Tổng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Nhăn hiệu Triệu VND,numeric__Mối quan hệ khách hàng Triệu VND,numeric__Nguồn nước khoáng Triệu VND,numeric__Quyền khai khoáng Triệu VND,numeric__Kỹ thuật Triệu VND,numeric__Quyền khai thác nguồn nước khoáng Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,170.254,111.350,712.471,375.110,305.336,588.373,-,-,2.262.894,170254.0,111350.0,712471.0,375110.0,305336.0,588373.0,,,2262894.0
Tăng từ hợp nhất kinh doanh(Thuyết minh 6),Nguyên giá > Tăng từ hợp nhất kinh doanh(Thuyết minh 6),Tăng từ hợp nhất kinh doanh(Thuyết minh 6),186.718,1.109,1.700.112,2.699.104,107.362,-,669.433,13.563,5.377.401,186718.0,1109.0,1700112.0,2699104.0,107362.0,,669433.0,13563.0,5377401.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,234,-,-,-,-,-,74.845,75.079,,234.0,,,,,,74845.0,75079.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,242.864,-,-,-,-,-,-,242.864,,242864.0,,,,,,,242864.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(49.615),(1),-,-,-,-,-,-,(49.616),-49615.0,-1.0,,,,,,,-49616.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(1.763),-,-,-,-,-,-,(1.763),,-1763.0,,,,,,,-1763.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,307.357,353.793,2.412.583,3.074.214,412.698,588.373,669.433,88.408,7.906.859,307357.0,353793.0,2412583.0,3074214.0,412698.0,588373.0,669433.0,88408.0,7906859.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.053,30.304,188.375,211.107,4.990,5.369,-,-,464.198,24053.0,30304.0,188375.0,211107.0,4990.0,5369.0,,,464198.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.895,29.733,120.151,162.564,2.604,30.550,92.096,2.595,448.188,7895.0,29733.0,120151.0,162564.0,2604.0,30550.0,92096.0,2595.0,448188.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(5.428),(1),-,-,-,-,-,-,(5.429),-5428.0,-1.0,,,,,,,-5429.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(1.763),-,-,-,-,-,-,(1.763),,-1763.0,,,,,,,-1763.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.520,58.273,308.526,373.671,7.594,35.919,92.096,2.595,905.194,26520.0,58273.0,308526.0,373671.0,7594.0,35919.0,92096.0,2595.0,905194.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,146.201,81.046,524.096,164.003,300.346,583.004,-,-,1.798.696,146201.0,81046.0,524096.0,164003.0,300346.0,583004.0,,,1798696.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,280.837,295.520,2.104.057,2.700.543,405.104,552.454,577.337,85.813,7.001.665,280837.0,295520.0,2104057.0,2700543.0,405104.0,552454.0,577337.0,85813.0,7001665.0
