row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 200/2014/TT-BTC và Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,,,,
STT,STT,STT,Tên công ty,Hoạt động chính,Tỷ lệ lợi ích kinh tế tại31/12/2015,1/1/2015,,,,
1,STT > 1,1,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam (“Techcombank”),Ngân hàng,"19,5%","19,5%",,,0.195,0.195
Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,,,,
STT,STT,STT,Tên công ty,Hoạt động chính,Tỷ lệ lợi ích kinh tế tại31/12/2015,1/1/2015,,,,
1,STT > 1,1,Công ty Cổ phần Thực phẩm Cholimex (“Cholimex”),Sản xuất gia vị,"32,8%","32,8%",,,0.32799999999999996,0.32799999999999996
2,STT > 2,2,Công ty Cổ phần Tảo Vĩnh Hảo (“VHS”) (trước đây là Tảo Vĩnh Hảo),Sản xuất tảo,-,"30,0%",,,,0.3
3,STT > 3,3,Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”) (i),Sản xuất bao bì,"25,0%",-,,,0.25,
4,STT > 4,4,Công ty Cổ phần Lộc Khang (“Lộc Khang”) (i),Đạm động vật,"26,2%",-,,,0.262,
5,STT > 5,5,Công ty Cổ phần Chế biến Súc sản Long Bình (“Abattoir”) (i),Đạm động vật,"25,0%",-,,,0.25,
6,STT > 6,6,"Công ty Cổ phần Sản xuất, Thương mại và Dịch vụ Đồng Nai (“DN Manu”) (i)",Đạm động vật,"21,3%",-,,,0.213,
