row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Chênh lệch tỷ giá hối đoái Triệu VND,Vốn khác Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông vốn chủ sở hữu của Tập đoàn Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Chênh lệch tỷ giá hối đoái Triệu VND,numeric__Vốn khác Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông vốn chủ sở hữu của Tập đoàn Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,7.349.113,9.601.627,97.703,(43.098),(8.929.770),6.357.394,14.432.969,8.828.528,23.261.497,7349113.0,9601627.0,97703.0,-43098.0,-8929770.0,6357394.0,14432969.0,8828528.0,23261497.0
Phát hành cổ phiếu mới do chuyển đổi công cụ nợ,Phát hành cổ phiếu mới do chuyển đổi công cụ nợ,Phát hành cổ phiếu mới do chuyển đổi công cụ nợ,8.968,29.537,-,-,-,-,38.505,-,38.505,8968.0,29537.0,,,,,38505.0,,38505.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,(212.982),(349.327),(562.309),(1.553.662),(2.115.971),,,,,-212982.0,-349327.0,-562309.0,-1553662.0,-2115971.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.080.169,1.080.169,956.873,2.037.042,,,,,,1080169.0,1080169.0,956873.0,2037042.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(1.304.830),(1.304.830),,,,,,,,-1304830.0,-1304830.0
Phần bổ vào các quỹ khác,Phần bổ vào các quỹ khác,Phần bổ vào các quỹ khác,-,-,-,-,-,(16.349),(16.349),(17.853),(34.202),,,,,,-16349.0,-16349.0,-17853.0,-34202.0
Chênh lệch tỷ giá hối đoái trong một công ty con,Chênh lệch tỷ giá hối đoái trong một công ty con,Chênh lệch tỷ giá hối đoái trong một công ty con,-,-,-,43.098,-,-,43.098,-,43.098,,,,43098.0,,,43098.0,,43098.0
Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,7.358.081,9.631.164,97.703,-,(9.142.752),7.071.887,15.016.083,6.909.056,21.925.139,7358081.0,9631164.0,97703.0,,-9142752.0,7071887.0,15016083.0,6909056.0,21925139.0
