row_label_raw,row_label_full,col_0,Thực phẩm và đồ uống,Thực phẩm và đồ uống_1,Đạm động vật,Đạm động vật_1,Khác,Khác_1,Tổng,Tổng_1,numeric__Thực phẩm và đồ uống,numeric__Thực phẩm và đồ uống_1,numeric__Đạm động vật,numeric__Đạm động vật_1,numeric__Khác,numeric__Khác_1,numeric__Tổng,numeric__Tổng_1
,,,31/12/2015Triệu VND,1/1/2015Triệu VND,31/12/2015Triệu VND,1/1/2015Triệu VND,31/12/2015Triệu VND,1/1/2015Triệu VND,31/12/2015Triệu VND,1/1/2015Triệu VND,,,,,,,,
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,20.712.909,15.108.276,14.766.478,-,34.546.124,32.556.806,70.025.511,47.665.082,20712909.0,15108276.0,14766478.0,,34546124.0,32556806.0,70025511.0,47665082.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,1.824.189,5.300.018,,,,,,,1824189.0,5300018.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,71.849.700,52.965.100,,,,,,,71849700.0,52965100.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,16.381.478,10.963.588,7.804.983,-,13.454.736,9.891.791,37.641.197,20.855.379,16381478.0,10963588.0,7804983.0,,13454736.0,9891791.0,37641197.0,20855379.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,7.099.457,10.184.582,,,,,,,7099457.0,10184582.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,44.740.654,31.039.961,,,,,,,44740654.0,31039961.0
,,,2015Triệu VND,2014Triệu VND,2015Triệu VND,2014Triệu VND,2015Triệu VND,2014Triệu VND,2015Triệu VND,2014Triệu VND,,,,,,,,
Chỉ tiêu vốn,Chỉ tiêu vốn,Chỉ tiêu vốn,1.865.381,843.267,194.788,-,1.796.516,1.885.626,3.856.685,2.728.893,1865381.0,843267.0,194788.0,,1796516.0,1885626.0,3856685.0,2728893.0
Khẩu hao,Khẩu hao,Khẩu hao,380.125,278.654,102.062,-,770.150,612.488,1.252.337,891.142,380125.0,278654.0,102062.0,,770150.0,612488.0,1252337.0,891142.0
Phân bổ,Phân bổ,Phân bổ,455.809,319.250,247.772,-,115.780,201.807,819.361,521.057,455809.0,319250.0,247772.0,,115780.0,201807.0,819361.0,521057.0
