row_label_raw,row_label_full,col_0,Vốn cổ phầnTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Vốn khác củachủ sở hữuTriệu VND,Vốn khácTriệu VND,(Lỗ lũy kế)/lojinhuận sau thuếchưa phân phốiTriệu VND,TổngTriệu VND,numeric__Vốn cổ phầnTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Vốn khác củachủ sở hữuTriệu VND,numeric__Vốn khácTriệu VND,numeric__(Lỗ lũy kế)/lojinhuận sau thuếchưa phân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,7.349.113,9.601.627,97.703,(1.586.675),(1.206.546),14.255.222,7349113.0,9601627.0,97703.0,-1586675.0,-1206546.0,14255222.0
Phát hành cổ phiếu mới thông qua chuyển đổi c'accông cụ nợ,Phát hành cổ phiếu mới thông qua chuyển đổi c'accông cụ nợ,Phát hành cổ phiếu mới thông qua chuyển đổi c'accông cụ nợ,8.968,29.537,-,-,-,38.505,8968.0,29537.0,,,,38505.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.237.391,3.237.391,,,,,3237391.0,3237391.0
Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,7.358.081,9.631.164,97.703,(1.586.675),2.030.845,17.531.118,7358081.0,9631164.0,97703.0,-1586675.0,2030845.0,17531118.0
Số dư tại ngày 1 tháng 1 năm 2015 - theo báo cáotrước đáy,Số dư tại ngày 1 tháng 1 năm 2015 - theo báo cáotrước đáy,Số dư tại ngày 1 tháng 1 năm 2015 - theo báo cáotrước đáy,7.358.081,9.631.164,97.703,(1.586.675),2.030.845,17.531.118,7358081.0,9631164.0,97703.0,-1586675.0,2030845.0,17531118.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,(1.586.675),1.586.675,-,-,,,-1586675.0,1586675.0,,
Số dư tại ngày 1 tháng 1 năm 2015 – phân loại lại,Số dư tại ngày 1 tháng 1 năm 2015 – phân loại lại,Số dư tại ngày 1 tháng 1 năm 2015 – phân loại lại,7.358.081,9.631.164,(1.488.972),-,2.030.845,17.531.118,7358081.0,9631164.0,-1488972.0,,2030845.0,17531118.0
Phát hành cổ phiếu mới (Thuyết minh 24),Phát hành cổ phiếu mới (Thuyết minh 24),Phát hành cổ phiếu mới (Thuyết minh 24),109.098,(58),-,-,-,109.040,109098.0,-58.0,,,,109040.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(522.355),(522.355),,,,,-522355.0,-522355.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,7.467.179,9.631.106,(1.488.972),-,1.508.490,17.117.803,7467179.0,9631106.0,-1488972.0,,1508490.0,17117803.0
