row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Giá trị ghi số Triệu VND,Dòng tiền theo hợp đồng Triệu VND,Trong vòng 1 năm Triệu VND,1 – 2 năm Triệu VND,2 – 5 năm Triệu VND,numeric__Giá trị ghi số Triệu VND,numeric__Dòng tiền theo hợp đồng Triệu VND,numeric__Trong vòng 1 năm Triệu VND,numeric__1 – 2 năm Triệu VND,numeric__2 – 5 năm Triệu VND
Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,240,(240),(240),-,-,240.0,-240.0,-240.0,,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,147.891,(147.891),(147.891),-,-,147891.0,-147891.0,-147891.0,,
"Phải trả khác – ngắn hạn, không bao gồm nghĩa vụ phát hành cổ phiếu","Phải trả khác – ngắn hạn, không bao gồm nghĩa vụ phát hành cổ phiếu","Phải trả khác – ngắn hạn, không bao gồm nghĩa vụ phát hành cổ phiếu",111.611,(111.611),(111.611),-,-,111611.0,-111611.0,-111611.0,,
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",6.844.842,(8.599.470),(3.209.126),(357.000),(5.033.344),6844842.0,-8599470.0,-3209126.0,-357000.0,-5033344.0
,,,7.104.584,(8.859.212),(3.468.868),(357.000),(5.033.344),7104584.0,-8859212.0,-3468868.0,-357000.0,-5033344.0
Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Ngày 1 tháng 1 năm 2015,Giá trị ghi số Triệu VND,Dòng tiền theo hợp đồng Triệu VND,Trong vòng 1 năm Triệu VND,1 – 2 năm Triệu VND,2 – 5 năm Triệu VND,,,,,
Phải trả người bán – ngắn hạn,Ngày 1 tháng 1 năm 2015 > Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,1.451,(1.451),(1.451),-,-,1451.0,-1451.0,-1451.0,,
Chi phí phải trả,Ngày 1 tháng 1 năm 2015 > Chi phí phải trả,Chi phí phải trả,215.239,(215.239),(215.239),-,-,215239.0,-215239.0,-215239.0,,
Phải trả khác – ngắn hạn,Ngày 1 tháng 1 năm 2015 > Phải trả khác – ngắn hạn,Phải trả khác – ngắn hạn,1.555.324,(1.555.324),(1.555.324),-,-,1555324.0,-1555324.0,-1555324.0,,
"Phải trả dài hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu","Ngày 1 tháng 1 năm 2015 > Phải trả dài hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu","Phải trả dài hạn khác, không bao gồm nghĩa vụ phát hành cổ phiếu",14.580,(14.580),-,(14.580),-,14580.0,-14580.0,,-14580.0,
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Ngày 1 tháng 1 năm 2015 > Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",5.267.960,(6.263.385),(1.166.805),(5.096.580),-,5267960.0,-6263385.0,-1166805.0,-5096580.0,
,,,7.054.554,(8.049.979),(2.938.819),(5.111.160),-,7054554.0,-8049979.0,-2938819.0,-5111160.0,
