row_label_raw,row_label_full,Cho vay,col_1,52.730.000.000,27.000.000.000,numeric__col_1,numeric__52.730.000.000,numeric__27.000.000.000
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,17.730.000.000,-,,17730000000.0,
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,35.000.000.000,27.000.000.000,,35000000000.0,27000000000.0
Thu lại tiền cho vay,Thu lại tiền cho vay,Thu lại tiền cho vay,,52.730.000.000,66.000.000.000,,52730000000.0,66000000000.0
Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,-,39.000.000.000,,,39000000000.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,17.730.000.000,-,,17730000000.0,
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,35.000.000.000,27.000.000.000,,35000000000.0,27000000000.0
Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,,356.686.800.000,28.473.253.317,,356686800000.0,28473253317.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,13.585.800.000,28.473.253.317,,13585800000.0,28473253317.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,343.101.000.000,-,,343101000000.0,
Thu hồi tiền hợp tác đầu tư,Thu hồi tiền hợp tác đầu tư,Thu hồi tiền hợp tác đầu tư,,343.101.000.000,-,,343101000000.0,
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,343.101.000.000,-,,343101000000.0,
Lãi hợp tác đầu tư,Lãi hợp tác đầu tư,Lãi hợp tác đầu tư,,4.089.226.825,1.140.198.521,,4089226825.0,1140198521.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,4.089.226.825,1.140.198.521,,4089226825.0,1140198521.0
Tạm ứng,Tạm ứng,Tạm ứng,,770.000.000,5.950.000.000,,770000000.0,5950000000.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,770.000.000,5.950.000.000,,770000000.0,5950000000.0
