row_label_raw,row_label_full,Chi phí lãi vay,Chi phí lãi vay_1,52.568.041.595,5.617.255.533,numeric__Chi phí lãi vay_1,numeric__52.568.041.595,numeric__5.617.255.533
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,957.945.207,17.424.658,,957945207.0,17424658.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,-,670.833.335,,,670833335.0
Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,31.876.632.001,4.366.661.918,,31876632001.0,4366661918.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,-,31.849.315,,,31849315.0
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,5.125.753.426,-,,5125753426.0,
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con,13.527.156.166,-,,13527156166.0,
Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty con,1.080.554.795,530.486.307,,1080554795.0,530486307.0
Góp vốn,Góp vốn,Góp vốn,Góp vốn,1.177.846.638.496,163.004.700.000,,1177846638496.0,163004700000.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,327.846.638.496,-,,327846638496.0,
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,650.000.000.000,-,,650000000000.0,
