row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.466.978.282,134.290.000,3.125.045.809,1.418.142.480,16.144.456.571,11466978282.0,134290000.0,3125045809.0,1418142480.0,16144456571.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,1.266.465.182,35.500.000,1.301.965.182,,,1266465182.0,35500000.0,1301965182.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.466.978.282,134.290.000,4.391.510.991,1.453.642.480,17.446.421.753,11466978282.0,134290000.0,4391510991.0,1453642480.0,17446421753.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.466.978.282,115.851.299,850.999.507,1.386.310.041,13.820.139.129,11466978282.0,115851299.0,850999507.0,1386310041.0,13820139129.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,18.438.701,359.740.467,23.808.690,401.987.858,,18438701.0,359740467.0,23808690.0,401987858.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.466.978.282,134.290.000,1.210.739.974,1.410.118.731,14.222.126.987,11466978282.0,134290000.0,1210739974.0,1410118731.0,14222126987.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,-,18.438.701,2.274.046.302,31.832.439,2.324.317.442,,18438701.0,2274046302.0,31832439.0,2324317442.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,-,-,3.180.771.017,43.523.749,3.224.294.766,,,3180771017.0,43523749.0,3224294766.0
