row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh
- Công ty Cổ phần Sacom - Tuyền Lâm,- Công ty Cổ phần Sacom - Tuyền Lâm,- Công ty Cổ phần Sacom - Tuyền Lâm,Tỉnh Lâm Đồng,"64,09%","64,09%","Kinh doanh khu du lịch, sân golf",,0.6409,0.6409,
- Công ty Cổ phần Dây và Cáp Sacom,- Công ty Cổ phần Dây và Cáp Sacom,- Công ty Cổ phần Dây và Cáp Sacom,Tỉnh Đồng Nai,"99,92%","99,92%",Sản xuất dây cáp,,0.9992,0.9992,
- Công ty Cổ phần Địa ốc Sacom,- Công ty Cổ phần Địa ốc Sacom,- Công ty Cổ phần Địa ốc Sacom,Thành phố Hồ Chí Minh,"85,71%","85,71%",Kinh doanh bất động sản,,0.8571,0.8571,
- Công ty TNHH Sacom Chip Sáng,- Công ty TNHH Sacom Chip Sáng,- Công ty TNHH Sacom Chip Sáng,Thành phố Hồ Chí Minh,"73,75%","73,75%",Kinh doanh dịch vụ cho thuê văn phòng,,0.7375,0.7375,
- Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,- Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,- Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,Tỉnh Đắk Nông,"72,00%","72,00%","Trồng trọt, chăn nuôi, chế biến và kinh doanh nông sản",,0.72,0.72,
- Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,Tỉnh Quảng Nam,"92,86%","92,86%",Đầu tư kinh doanh hạ tầng khu công nghiệp,,0.9286,0.9286,
- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,- Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Tỉnh Đắk Nông,"80,00%","80,00%",Kinh doanh bất động sản,,0.8,0.8,
Đầu tư vào Công ty liên kếtThông tin chi tiết về các công ty liên kết của Công ty vào ngày 31/12/2021 như sau:Tên Công ty,Đầu tư vào Công ty liên kếtThông tin chi tiết về các công ty liên kết của Công ty vào ngày 31/12/2021 như sau:Tên Công ty,Đầu tư vào Công ty liên kếtThông tin chi tiết về các công ty liên kết của Công ty vào ngày 31/12/2021 như sau:Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh,,,,
- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Đầu tư vào Công ty liên kếtThông tin chi tiết về các công ty liên kết của Công ty vào ngày 31/12/2021 như sau:Tên Công ty > - Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Thành phố Hồ Chí Minh,"34,96%","34,96%",Kinh doanh dịch vụ du lịch,,0.3496,0.3496,
- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Đầu tư vào Công ty liên kếtThông tin chi tiết về các công ty liên kết của Công ty vào ngày 31/12/2021 như sau:Tên Công ty > - Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Thành phố Hà Nội,"21,47%","21,47%",Phát triển hạ tầng,,0.2147,0.2147,
- Công ty Cổ phần Capella Việt Nam,Đầu tư vào Công ty liên kếtThông tin chi tiết về các công ty liên kết của Công ty vào ngày 31/12/2021 như sau:Tên Công ty > - Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,Thành phố Hồ Chí Minh,"31,48%","31,48%",Tổ chức sự kiện và quảng cáo,,0.3148,0.3148,
- Công ty Cổ phần Phú Hữu Gia,Đầu tư vào Công ty liên kếtThông tin chi tiết về các công ty liên kết của Công ty vào ngày 31/12/2021 như sau:Tên Công ty > - Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,Tỉnh Đồng Nai,"45,28%","45,28%",Kinh doanh bất động sản,,0.45280000000000004,0.45280000000000004,
