row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.565.045.400.000,-,142.970.000,3.711.674.565,2.568.900.044.565,2565045400000.0,,142970000.0,3711674565.0,2568900044565.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,207.585.448.083,207.585.448.083,,,,207585448083.0,207585448083.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(800.310.763),(800.310.763),,,,-800310763.0,-800310763.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.565.045.400.000,-,142.970.000,210.496.811.885,2.775.685.181.885,2565045400000.0,,142970000.0,210496811885.0,2775685181885.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.565.045.400.000,-,142.970.000,210.496.811.885,2.775.685.181.885,2565045400000.0,,142970000.0,210496811885.0,2775685181885.0
Tăng vốn trong năm nay (*),Tăng vốn trong năm nay (*),Tăng vốn trong năm nay (*),934.926.500.000,(76.363.636),-,-,934.850.136.364,934926500000.0,-76363636.0,,,934850136364.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,129.649.355.922,129.649.355.922,,,,129649355922.0,129649355922.0
Trích quỹ khen thưởng phúc lợi (**),Trích quỹ khen thưởng phúc lợi (**),Trích quỹ khen thưởng phúc lợi (**),-,-,-,(926.237.429),(926.237.429),,,,-926237429.0,-926237429.0
Tăng giảm khác,Tăng giảm khác,Tăng giảm khác,-,-,-,1.138.353.324,1.138.353.324,,,,1138353324.0,1138353324.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.499.971.900.000,(76.363.636),142.970.000,340.358.283.702,3.840.396.790.066,3499971900000.0,-76363636.0,142970000.0,340358283702.0,3840396790066.0
