row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2021,01/01/2021,numeric__Mối quan hệ,numeric__31/12/2021,numeric__01/01/2021
,,,Mối quan hệ,VND,VND,,,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,7.000.000.000,7.000.000.000,,7000000000.0,7000000000.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ Cao,Công ty con,7.000.000.000,7.000.000.000,,7000000000.0,7000000000.0
Phải thu khác,Phải thu khác,Phải thu khác,,138.040.350.537,141.874.911.879,,138040350537.0,141874911879.0
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,83.750.000.000,84.050.000.000,,83750000000.0,84050000000.0
Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty con,5.900.000.000,5.900.000.000,,5900000000.0,5900000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,1.145.292.808,1.145.292.808,,1145292808.0,1145292808.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,47.085.259.591,28.772.232.769,,47085259591.0,28772232769.0
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,-,22.007.386.302,,,22007386302.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,159.798.138,-,,159798138.0,
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,368.843.033.653,216.080.019.458,,368843033653.0,216080019458.0
Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,Công ty con,36.243.293.919,4.366.661.918,,36243293919.0,4366661918.0
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,895.479.451,986.301,,895479451.0,986301.0
Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty con,1.236.698.637,355.191.786,,1236698637.0,355191786.0
Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty Cổ phần Capella Quảng Nam,Công ty con,5.125.753.426,-,,5125753426.0,
Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty Cổ phần Đầu tư Phát triển Nam Tây Nguyên,Công ty con,13.527.156.166,-,,13527156166.0,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,5.907.419.177,191.449.946.576,,5907419177.0,191449946576.0
Công ty TNHH Capella Group,Công ty TNHH Capella Group,Công ty TNHH Capella Group,Cổ đông,96.000.000.000,-,,96000000000.0,
Ông Trần Văn Hải,Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,209.907.232.877,19.907.232.877,,209907232877.0,19907232877.0
