row_label_raw,row_label_full,Ông Nguyễn Trọng Trung,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Lê Việt Hà,Bà Lê Việt Hà,Bà Lê Việt Hà,Phó Tổng Giám đốc (Bổ nhiệm ngày 14 tháng 11 năm 2025),
Ông Phạm Tuấn Anh,Ông Phạm Tuấn Anh,Ông Phạm Tuấn Anh,Phó Tổng Giám đốc (Miễn nhiệm ngày 29 tháng 4 năm 2025),
