row_label_raw,row_label_full,col_0,Số báo cáo,Số trình bày lại,numeric__Số báo cáo,numeric__Số trình bày lại
Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp (VND),Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp (VND),Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp (VND),1.588.234.634.885,1.588.234.634.885,1588234634885.0,1588234634885.0
Trích quỹ khen thưởng phúc lợi (VND),Trích quỹ khen thưởng phúc lợi (VND),Trích quỹ khen thưởng phúc lợi (VND),-,(11.710.278.429),,-11710278429.0
Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),1.588.234.634.885,1.576.524.356.456,1588234634885.0,1576524356456.0
Cổ phiếu phổ thông đang lưu hành bình quân trong năm (cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (cổ phiếu),300.000.000,360.999.956,300000000.0,360999956.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),5.294,4.367,5294.0,4367.0
