row_label_raw,row_label_full,STT Tên công ty con,STT Tên công ty con_1,Nơi thành lập và hoạt động,Tỷ lệ sở hữu trực tiếp,Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__STT Tên công ty con_1,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ sở hữu trực tiếp,numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
5.,5.,5.,"Công ty Cổ phần Sản xuất Máy biến áp Truyền tải MEE (""MEE"")",Hà Nội,"80,84%","80,84%",Sản xuất và kinh doanh máy biến áp,,,0.8084,0.8084,
6.,6.,6.,"Công ty Cổ phần Chế tạo Điện cơ Hà Nội (""HEM"") (ii)",Hà Nội,"76,70%","76,70%","Sản xuất, chế tạo, sửa chữa, kinh doanh động cơ điện và thiết bị điện",,,0.767,0.767,
7.,7.,7.,"Công ty Cổ phần Mua bán điện GELEX (""GETC"") (iii)",Hà Nội,"70,82%","70,82%",Mua bán và phân phối điện,,,0.7081999999999999,0.7081999999999999,
8.,8.,8.,"Công ty TNHH Phát điện GELEX (""Phát điện GELEX"") (iv)",Hà Nội,100%,100%,Quản lý các khoản đầu tư trong lĩnh vực sản xuất và phân phối điện,,,1.0,1.0,
9.,9.,9.,Công ty TNHH GELEX Technology (*),Hà Nội,"51,00%","51,00%",Phát triển sản phẩm công nghệ cao,,,0.51,0.51,
