row_label_raw,row_label_full,col_0,Số đầu năm,Mua thêm trong năm,Phần lợi nhuận từ công ty liên kết > Lợi nhuận từ kết quả kinh doanh trong năm,Phần lợi nhuận từ công ty liên kết > Cổ tức nhận được,Phần lợi nhuận từ công ty liên kết > Phân phối quỹ và điều chỉnh khác,Số cuối năm,numeric__Số đầu năm,numeric__Mua thêm trong năm,numeric__Phần lợi nhuận từ công ty liên kết > Lợi nhuận từ kết quả kinh doanh trong năm,numeric__Phần lợi nhuận từ công ty liên kết > Cổ tức nhận được,numeric__Phần lợi nhuận từ công ty liên kết > Phân phối quỹ và điều chỉnh khác,numeric__Số cuối năm
,,,VND,,VND,VND,VND,VND,,,,,,
Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),1.202.285.149.829,26.891.276.500,105.520.763.006,(30.473.286.000),(13.524.250.000),1.290.699.653.335,1202285149829.0,26891276500.0,105520763006.0,-30473286000.0,-13524250000.0,1290699653335.0
Công ty TNHH S.A.S - CTAMAD (ii),Công ty TNHH S.A.S - CTAMAD (ii),Công ty TNHH S.A.S - CTAMAD (ii),237.994.521.860,-,84.408.881.925,(46.231.500.000),2.512.411.181,278.684.314.966,237994521860.0,,84408881925.0,-46231500000.0,2512411181.0,278684314966.0
Công ty TNHH Năng lượng GELEX Ninh Thuận (ii),Công ty TNHH Năng lượng GELEX Ninh Thuận (ii),Công ty TNHH Năng lượng GELEX Ninh Thuận (ii),87.572.917.945,-,12.972.008.670,-,-,100.544.926.615,87572917945.0,,12972008670.0,,,100544926615.0
Công ty TNHH Chế tạo Điện cơ HEM (ii),Công ty TNHH Chế tạo Điện cơ HEM (ii),Công ty TNHH Chế tạo Điện cơ HEM (ii),19.467.461.213,-,6.240.078.987,(2.280.000.000),-,23.427.540.200,19467461213.0,,6240078987.0,-2280000000.0,,23427540200.0
,,,1.547.320.050.847,26.891.276.500,209.141.732.588,(78.984.786.000),(11.011.838.819),1.693.356.435.116,1547320050847.0,26891276500.0,209141732588.0,-78984786000.0,-11011838819.0,1693356435116.0
