row_label_raw,row_label_full,Ngoại tệ các loại,Đơn vị,Số cuối năm,Số đầu năm,numeric__Đơn vị,numeric__Số cuối năm,numeric__Số đầu năm
Đô la Mỹ,Đô la Mỹ,Đô la Mỹ,USD,2.409.089,1.547.134,,2409089.0,1547134.0
Euro,Euro,Euro,EUR,1.462,528,,1462.0,528.0
Đô la Úc,Đô la Úc,Đô la Úc,AUD,341,241,,341.0,241.0
,,,,Số cuối năm,Số đầu năm,,,
Hàng giữ hộ,Hàng giữ hộ,Hàng giữ hộ,,Cái,Cái,,,
Máy biến áp,Hàng giữ hộ > Máy biến áp,Máy biến áp,,15,48,,15.0,48.0
,,,,Số cuối năm,Số đầu năm,,,
,,,Đơn vị,,,,,
Nợ phải thu khó đòi đã xử lý,Hàng giữ hộ > Nợ phải thu khó đòi đã xử lý,Nợ phải thu khó đòi đã xử lý,VND,123.603.101.704,114.802.348.841,,123603101704.0,114802348841.0
